Time,Outdoor Temperature(℃),Outdoor Feels Like(℃),Outdoor Dew Point(℃),Outdoor Humidity(%),Indoor Temperature(℃),Indoor Humidity(%),Solar(W/m2),UVI,Rainfall Rainfall Rain Rate(mm/hr),Rainfall Rainfall Daily(mm),Rainfall Rainfall Event(mm),Rainfall Rainfall Hourly(mm),Rainfall Rainfall Weekly(mm),Rainfall Rainfall Monthly(mm),Rainfall Rainfall Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Pressure Relative(hPa),Pressure Absolute(hPa)
2021-07-27 00:00,7.2,7.0,-1.1,56,18.2,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,9.3,212,1024.2,1025.1
2021-07-27 00:05,7.1,6.9,-1.3,55,18.3,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.4,9.3,235,1024.2,1025.1
2021-07-27 00:10,7.1,7.1,-1.3,55,18.4,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.1,7.2,233,1024.2,1025.2
2021-07-27 00:15,6.9,6.4,-1.4,55,18.4,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.0,11.1,242,1024.3,1025.2
2021-07-27 00:20,6.8,6.6,-1.4,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.0,7.2,258,1024.4,1025.3
2021-07-27 00:25,6.7,6.7,-1.4,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.5,3.5,225,1024.4,1025.3
2021-07-27 00:30,6.6,6.5,-1.5,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.0,5.5,229,1024.3,1025.2
2021-07-27 00:35,6.6,6.6,-1.6,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.8,3.5,217,1024.4,1025.3
2021-07-27 00:40,6.6,6.3,-1.5,57,18.3,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.0,9.3,222,1024.4,1025.4
2021-07-27 00:45,6.4,6.1,-1.6,57,18.3,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.6,7.2,225,1024.5,1025.4
2021-07-27 00:50,6.3,6.1,-1.8,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.5,7.2,206,1024.3,1025.2
2021-07-27 00:55,6.4,6.4,-1.8,56,18.3,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.0,5.5,237,1024.4,1025.3
2021-07-27 01:00,6.3,6.3,-1.8,56,18.2,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.9,7.2,233,1024.3,1025.3
2021-07-27 01:05,6.2,5.8,-1.9,56,18.0,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.0,11.1,214,1024.5,1025.4
2021-07-27 01:10,6.2,5.6,-2.1,55,17.7,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.8,13.0,226,1024.5,1025.4
2021-07-27 01:15,6.2,5.7,-2.3,54,17.4,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,5.4,14.8,226,1024.6,1025.5
2021-07-27 01:20,6.2,5.8,-2.1,55,17.2,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.3,7.2,222,1024.5,1025.4
2021-07-27 01:25,6.0,6.0,-2.0,56,16.9,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.3,3.5,205,1024.7,1025.6
2021-07-27 01:30,5.8,5.6,-2.1,57,16.7,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.6,9.3,241,1024.6,1025.5
2021-07-27 01:35,5.7,5.7,-1.9,58,16.6,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.7,3.5,219,1024.7,1025.6
2021-07-27 01:40,5.6,5.6,-2.1,58,16.4,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.7,3.5,213,1024.7,1025.6
2021-07-27 01:45,5.5,5.2,-2.2,58,16.3,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.9,11.1,213,1024.6,1025.5
2021-07-27 01:50,5.4,5.4,-2.3,58,16.1,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.3,5.5,199,1024.7,1025.6
2021-07-27 01:55,5.4,5.1,-2.3,58,16.3,73,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.4,7.2,217,1024.7,1025.6
2021-07-27 02:00,5.3,4.8,-2.3,58,16.4,72,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.9,9.3,223,1024.7,1025.6
2021-07-27 02:05,5.3,5.0,-2.3,58,16.4,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.3,9.3,223,1024.7,1025.6
2021-07-27 02:10,5.1,5.1,-2.3,59,16.3,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.8,5.5,223,1024.6,1025.5
2021-07-27 02:15,5.0,5.0,-2.3,59,16.3,71,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.9,3.5,258,1024.7,1025.6
2021-07-27 02:20,5.0,5.0,-2.3,59,16.2,70,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.9,5.5,227,1024.6,1025.5
2021-07-27 02:25,4.9,4.6,-2.4,59,16.1,70,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.5,9.3,231,1024.6,1025.5
2021-07-27 02:30,4.8,4.1,-2.5,59,15.9,70,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,4.1,14.8,217,1024.6,1025.5
2021-07-27 02:35,4.7,4.7,-2.6,59,15.7,70,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.6,7.2,218,1024.5,1025.4
2021-07-27 02:40,4.7,4.4,-2.6,59,15.5,70,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,9.3,244,1024.7,1025.6
2021-07-27 02:45,4.6,4.6,-2.7,59,15.3,69,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.0,3.5,217,1024.6,1025.5
2021-07-27 02:50,4.6,4.6,-2.8,59,15.1,69,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.4,3.5,245,1024.5,1025.5
2021-07-27 02:55,4.5,4.5,-2.9,59,15.0,68,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,7.2,234,1024.4,1025.3
2021-07-27 03:00,4.5,4.5,-3.0,59,14.8,68,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.0,7.2,230,1024.4,1025.3
2021-07-27 03:05,4.3,4.3,-2.9,59,14.7,68,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.1,5.5,231,1024.4,1025.4
2021-07-27 03:10,4.3,4.0,-3.2,58,14.6,68,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.7,9.3,224,1024.5,1025.4
2021-07-27 03:15,4.3,4.3,-3.3,58,14.4,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.0,3.5,230,1024.4,1025.3
2021-07-27 03:20,4.2,4.2,-3.2,58,14.3,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.3,5.5,229,1024.4,1025.4
2021-07-27 03:25,4.2,4.2,-3.3,58,14.2,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,3.5,223,1024.3,1025.2
2021-07-27 03:30,4.1,4.1,-3.4,58,14.1,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.2,7.2,230,1024.4,1025.3
2021-07-27 03:35,4.0,4.0,-3.5,58,14.0,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,3.6,7.2,232,1024.1,1025.0
2021-07-27 03:40,3.8,3.8,-3.4,59,13.9,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.0,3.5,214,1024.1,1025.0
2021-07-27 03:45,3.8,3.8,-3.5,59,13.8,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,3.5,211,1024.1,1025.0
2021-07-27 03:50,3.7,3.7,-3.4,60,13.7,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.1,5.5,215,1024.1,1025.0
2021-07-27 03:55,3.7,3.7,-3.5,60,13.6,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,3.5,208,1024.1,1025.0
2021-07-27 04:00,3.7,3.7,-3.5,60,13.5,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.9,5.5,215,1023.9,1024.8
2021-07-27 04:05,3.6,3.6,-3.6,59,13.4,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.8,7.2,240,1024.2,1025.1
2021-07-27 04:10,3.6,3.6,-3.6,60,13.3,66,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.5,3.5,220,1023.9,1024.7
2021-07-27 04:15,3.5,3.5,-3.6,60,13.2,66,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,2.4,5.5,223,1023.8,1024.7
2021-07-27 04:20,3.4,3.4,-3.6,60,13.2,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,3.5,217,1023.9,1024.8
2021-07-27 04:25,3.4,3.4,-3.8,59,13.1,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.4,1.8,204,1023.9,1024.8
2021-07-27 04:30,3.4,3.4,-3.8,59,13.0,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.6,3.5,220,1023.9,1024.8
2021-07-27 04:35,3.5,3.5,-3.6,60,12.9,67,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.3,3.5,212,1023.8,1024.7
2021-07-27 04:40,3.4,3.4,-3.6,60,12.8,66,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.2,3.5,237,1023.7,1024.6
