Time,Outdoor Temperature(℃),Outdoor Feels Like(℃),Outdoor Dew Point(℃),Outdoor Humidity(%),Indoor Temperature(℃),Indoor Humidity(%),Solar(W/m2),UVI,Rainfall Rainfall Rain Rate(mm/hr),Rainfall Rainfall Daily(mm),Rainfall Rainfall Event(mm),Rainfall Rainfall Hourly(mm),Rainfall Rainfall Weekly(mm),Rainfall Rainfall Monthly(mm),Rainfall Rainfall Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Pressure Relative(hPa),Pressure Absolute(hPa)
2021-07-21 00:10,10.2,10.2,4.9,70,15.6,83,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.4,1019.3
2021-07-21 00:15,9.9,9.9,4.9,71,15.5,83,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.5,1019.4
2021-07-21 00:20,9.4,9.4,4.9,74,15.4,83,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.2,1.8,163,1018.4,1019.3
2021-07-21 00:25,9.2,9.2,4.8,74,15.3,83,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.1,1019.0
2021-07-21 00:30,9.1,9.1,4.9,75,15.3,83,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.2,1019.1
2021-07-21 00:35,8.8,8.8,4.8,76,15.2,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.2,1.8,165,1018.5,1019.4
2021-07-21 00:40,8.5,8.5,4.7,77,15.0,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.2,1.8,179,1018.6,1019.5
2021-07-21 00:45,8.4,8.4,4.6,77,15.0,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.3,1.8,174,1018.7,1019.6
2021-07-21 00:50,8.3,8.3,4.5,77,14.9,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.3,1.8,176,1018.7,1019.6
2021-07-21 00:55,8.1,8.1,4.4,78,14.8,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.6,1019.5
2021-07-21 01:00,8.1,8.1,4.5,78,14.7,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.8,1019.7
2021-07-21 01:05,8.2,8.2,4.6,78,14.7,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.3,1.8,173,1018.7,1019.6
2021-07-21 01:10,8.0,8.0,4.4,78,14.6,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.8,1019.7
2021-07-21 01:15,8.0,8.0,4.6,79,14.6,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.8,1.8,159,1018.6,1019.5
2021-07-21 01:20,7.8,7.8,4.5,80,14.5,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.6,1.8,167,1018.9,1019.8
2021-07-21 01:25,7.7,7.7,4.5,80,14.4,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.1,1.8,173,1018.9,1019.8
2021-07-21 01:30,7.6,7.6,4.5,81,14.4,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,1.1,1.8,164,1018.9,1019.8
2021-07-21 01:40,7.4,7.4,4.3,81,14.3,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1019.0,1019.9
2021-07-21 01:45,7.3,7.3,4.4,82,14.2,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1019.0,1019.9
2021-07-21 01:50,7.3,7.3,4.4,82,14.1,84,0.0,0,0.0,0.0,0.0,0.0,0.0,54.6,626.1,0.0,0.0,0,1018.6,1019.5
