latitude,longitude,confidence
-33.0196,-60.24049,n
-33.0101,-60.16895,n
-33.01087,-60.1855,n
-33.01112,-60.19103,n
-33.0124,-60.2187,n
-33.01265,-60.22426,n
-33.01316,-60.23535,n
-33.01342,-60.24091,n
-33.00394,-60.16937,n
-33.00496,-60.19144,n
-33.00698,-60.23577,n
-32.99829,-60.18082,n
-32.99854,-60.18634,n
-33.0003,-60.2251,n
-33.01711,-60.17015,n
-33.01798,-60.18668,n
-33.01827,-60.1922,n
-33.01971,-60.21983,n
-33.0203,-60.23092,n
-33.02088,-60.24202,n
-33.01067,-60.16505,n
-33.01095,-60.17054,n
-33.01124,-60.17605,n
-33.01182,-60.18707,n
-33.0121,-60.19259,n
-33.01239,-60.19812,n
-33.01383,-60.22577,n
-33.01441,-60.23687,n
-33.01469,-60.24242,n
-33.00451,-60.16544,n
-33.00537,-60.18195,n
-33.00594,-60.193,n
-33.00766,-60.22619,n
-33.00823,-60.23726,n
-32.99864,-60.17134,n
-32.99921,-60.18236,n
-32.9995,-60.18787,n
-33.00148,-60.22659,n
-33.00177,-60.23212,n
-33.00205,-60.23766,n
-32.99474,-60.2159,n
-32.99503,-60.22144,n
-32.99531,-60.22698,n
-32.87229,-60.48378,n
-32.87365,-60.51246,n
-32.86549,-60.47274,n
-32.86684,-60.50138,n
-32.86738,-60.51285,n
-32.86765,-60.5186,n
-32.8587,-60.46177,n
-32.85897,-60.46745,n
-32.85951,-60.47887,n
-32.85978,-60.48459,n
-32.86085,-60.50751,n
-32.86139,-60.51899,n
-32.85192,-60.45074,n
-32.85219,-60.45644,n
-32.85246,-60.46214,n
-32.85405,-60.49646,n
-32.85459,-60.50792,n
-32.85512,-60.51939,n
-32.8478,-60.49684,n
-32.84859,-60.51406,n
-32.84154,-60.49725,n
-32.8418,-60.50298,n
-32.84233,-60.51446,n
-32.83528,-60.49765,n
-32.83554,-60.50341,n
-32.83581,-60.50914,n
-32.83607,-60.51488,n
-32.82928,-60.50379,n
-32.82954,-60.50955,n
-32.57264,-60.62389,n
-33.04194,-60.18892,n
-33.03578,-60.18934,n
-33.02988,-60.19528,n
-33.0317,-60.2341,n
-33.03196,-60.23967,n
-33.025,-60.2234,n
-33.02526,-60.22896,n
-33.02578,-60.24007,n
-33.01703,-60.18508,n
-33.01729,-60.19061,n
-33.01908,-60.22937,n
-33.224,-60.21316,n
-33.21738,-60.21073,n
-33.20848,-60.19957,n
-33.20962,-60.20395,n
-33.17651,-60.29663,n
-33.16547,-60.27686,n
-33.16658,-60.28122,n
-33.14309,-60.21324,n
