latitude,longitude,confidence
-33.20699,-60.14934,n
-33.1965,-60.20344,n
-33.19287,-60.20279,n
-33.1789,-60.22563,n
-33.15577,-60.22926,n
-33.15704,-60.21937,n
-33.15429,-60.26936,n
-33.15492,-60.26444,n
-33.15939,-60.2299,n
-33.16003,-60.22496,n
-33.16066,-60.22002,n
-33.17466,-60.22993,n
-33.1613,-60.21507,n
-33.16046,-60.25029,n
-33.16109,-60.24536,n
-33.16173,-60.24043,n
-33.16237,-60.23549,n
-33.16365,-60.22561,n
-33.16343,-60.25587,n
-33.16407,-60.25094,n
-33.16471,-60.24601,n
-33.16535,-60.24108,n
-33.16599,-60.23613,n
-33.1679,-60.2213,n
-33.15525,-60.26685,n
-33.15894,-60.23724,n
-33.16017,-60.22734,n
-33.16079,-60.22239,n
-33.1614,-60.21743,n
-33.16256,-60.23789,n
-33.16133,-60.24777,n
-33.16195,-60.24282,n
-33.16379,-60.22799,n
-33.16372,-60.25829,n
-33.16433,-60.25335,n
-33.16495,-60.24842,n
-33.16557,-60.24348,n
-33.16618,-60.23854,n
-33.16733,-60.25894,n
-33.16918,-60.24413,n
-33.1698,-60.23919,n
-33.17042,-60.23424,n
-33.17651,-60.21507,n
-33.09217,-60.11639,n
-33.09279,-60.1114,n
-33.09643,-60.11205,n
-33.09269,-60.14194,n
-33.09705,-60.10706,n
-33.10007,-60.1127,n
-33.10672,-60.11898,n
-33.10734,-60.11399,n
-33.10797,-60.109,n
-33.11035,-60.11963,n
-33.11097,-60.11463,n
-33.1116,-60.10965,n
-33.11399,-60.12027,n
-33.15342,-60.21872,n
-32.81964,-60.56535,n
-32.82553,-60.57616,n
-32.82614,-60.57141,n
-32.8482,-60.42874,n
-32.85178,-60.42939,n
-32.8524,-60.42458,n
-32.8535,-60.44447,n
-32.86019,-60.53381,n
-32.92272,-60.44718,n
-32.92052,-60.44925,n
-32.96026,-60.19238,n
-32.96211,-60.17757,n
-32.97236,-60.18446,n
-32.9831,-60.21661,n
-33.07887,-60.10383,n
-33.0825,-60.10447,n
-33.08676,-60.10012,n
-33.08978,-60.10577,n
-33.0904,-60.10077,n
-33.08968,-60.13632,n
-33.09341,-60.10641,n
-33.09031,-60.13134,n
-32.98681,-60.20441,n
-32.988,-60.21318,n
-32.9886,-60.21757,n
-32.98041,-60.18323,n
-32.98101,-60.18761,n
-32.98458,-60.21384,n
-32.97639,-60.1795,n
-32.97699,-60.18388,n
-32.97758,-60.18826,n
-32.97996,-60.20573,n
-32.98056,-60.21011,n
-32.97297,-60.18016,n
-32.97356,-60.18453,n
-32.97416,-60.18891,n
-32.96895,-60.17644,n
-32.97313,-60.20709,n
-32.98385,-60.28612,n
-32.96493,-60.17266,n
-32.96151,-60.17331,n
-32.96211,-60.17774,n
-32.95304,-60.18845,n
-32.95363,-60.19283,n
-32.9655,-60.28057,n
-32.94902,-60.18473,n
-32.94962,-60.18911,n
-32.96207,-60.28122,n
-32.95213,-60.23359,n
-32.95272,-60.23797,n
-32.95864,-60.28187,n
-32.9487,-60.23424,n
-32.95462,-60.27812,n
-32.95521,-60.28252,n
-32.95178,-60.28317,n
-32.91897,-60.4235,n
-32.91852,-60.44631,n
-32.91627,-60.45584,n
-32.85925,-60.42564,n
-32.85404,-60.41302,n
-32.85463,-60.41743,n
-32.85522,-60.42187,n
-32.85581,-60.42629,n
-32.8564,-60.43072,n
-32.85699,-60.43515,n
-32.85059,-60.41366,n
-32.85178,-60.42251,n
-32.85296,-60.43137,n
-32.84657,-60.40989,n
-32.84716,-60.41431,n
-32.84774,-60.41873,n
-32.84833,-60.42316,n
-32.84253,-60.40611,n
-32.84312,-60.41054,n
-32.84371,-60.41496,n
-32.8443,-60.41938,n
-32.84489,-60.42381,n
-32.84086,-60.42003,n
-32.84145,-60.42446,n
-32.83742,-60.42068,n
-32.83801,-60.42511,n
-32.84868,-60.53236,n
-32.84927,-60.53682,n
-32.84464,-60.52855,n
-32.82035,-60.47841,n
-32.82504,-60.51397,n
-32.85195,-60.72011,n
-32.82185,-60.47754,n
-32.82664,-60.51307,n
-32.8184,-60.47818,n
-32.819,-60.48262,n
-32.85078,-60.7196,n
-32.81555,-60.48326,n
-32.82693,-60.5678,n
-32.82753,-60.57227,n
-32.81749,-60.52389,n
-32.81344,-60.52009,n
-32.81762,-60.55125,n
-32.81882,-60.56017,n
-32.81358,-60.54745,n
-32.81417,-60.5519,n
-32.79938,-60.46812,n
-32.79997,-60.47255,n
-32.80952,-60.54364,n
-32.81012,-60.54809,n
-32.81072,-60.55255,n
-32.81191,-60.56146,n
-32.80667,-60.54873,n
-32.80726,-60.55318,n
-32.79725,-60.50489,n
-32.80202,-60.54047,n
-32.80321,-60.54937,n
-32.79857,-60.54111,n
-32.79917,-60.54557,n
-32.80035,-60.55448,n
-32.80095,-60.55893,n
-32.80155,-60.56339,n
-32.79631,-60.55067,n
-32.7969,-60.55512,n
-32.7975,-60.55957,n
-32.79226,-60.54685,n
-32.79345,-60.55576,n
-32.79404,-60.56022,n
-32.78821,-60.54304,n
-32.7888,-60.5475,n
