latitude,longitude,confidence
24.73529,-99.83611,n
24.73327,-99.84449,n
24.73264,-99.84068,n
24.73202,-99.83689,n
24.73078,-99.84834,n
24.73017,-99.84457,n
24.7275,-99.84913,n
24.72688,-99.84538,n
24.7242,-99.84989,n
24.72359,-99.84616,n
24.72029,-99.84691,n
24.71535,-99.81678,n
24.72091,-99.85066,n
24.71968,-99.84315,n
24.71906,-99.8394,n
24.71264,-99.82104,n
24.71203,-99.81736,n
24.70191,-99.83887,n
24.69996,-99.82697,n
24.69932,-99.82304,n
24.69859,-99.83941,n
24.69795,-99.83553,n
24.69731,-99.83157,n
24.69666,-99.82764,n
24.69601,-99.82366,n
24.69463,-99.83611,n
24.69399,-99.83221,n
25.13525,-100.05116,n
25.13464,-100.04737,n
25.095,-100.07783,n
25.09439,-100.07404,n
25.09171,-100.07844,n
25.12827,-100.09178,n
25.12565,-100.09647,n
25.125,-100.09255,n
25.12436,-100.08865,n
25.12375,-100.08486,n
25.12303,-100.10116,n
25.12047,-100.08554,n
25.12239,-100.09724,n
25.12109,-100.08936,n
25.11975,-100.10187,n
25.11912,-100.09797,n
25.11847,-100.09406,n
25.11718,-100.08623,n
25.11584,-100.09869,n
25.11647,-100.10254,n
25.1152,-100.09479,n
25.11319,-100.1032,n
25.11256,-100.09936,n
25.10989,-100.10379,n
25.10598,-100.10064,n
25.10269,-100.10124,n
25.10328,-100.10496,n
25.10207,-100.09745,n
25.10144,-100.09361,n
24.69192,-99.83015,n
24.69666,-99.82297,n
24.69536,-99.8307,n
24.69469,-99.83468,n
24.69987,-99.82249,n
24.73191,-99.84212,n
24.73123,-99.84612,n
24.73053,-99.85028,n
24.73594,-99.83918,n
24.73526,-99.84322,n
25.09021,-100.07882,n
25.09353,-100.07455,n
25.09282,-100.07872,n
25.12872,-100.05572,n
25.13686,-100.04959,n
25.11087,-100.09801,n
25.1143,-100.09875,n
25.1264,-100.09027,n
25.12578,-100.09393,n
25.12391,-100.1049,n
