latitude,longitude,confidence
-32.83431,-60.37551,n
-33.0929,-60.23431,n
-32.86166,-60.34779,n
-33.08969,-60.22809,n
-33.10147,-60.237,n
-33.11434,-60.24102,n
-32.83649,-60.3774,n
-32.74068,-60.3014,n
-33.27645,-60.12829,n
-33.10576,-60.23834,n
-33.09827,-60.23077,n
-33.25555,-60.2872,n
-33.27541,-60.13309,n
-32.80313,-60.56799,n
-32.80752,-60.56938,n
-32.80637,-60.57453,n
-33.37768,-60.14591,n
-33.365,-60.16246,n
-33.3703,-60.15897,n
-33.36605,-60.15765,n
-32.81136,-60.60955,n
-32.83084,-60.74994,n
-32.83113,-60.7559,n
-33.27658,-60.13355,n
-32.80579,-60.56726,n
-32.8091,-60.56299,n
-32.80678,-60.59059,n
-32.80967,-60.57465,n
-32.81052,-60.5921,n
-32.80308,-60.56915,n
-32.80476,-60.60408,n
-32.84155,-60.38087,n
-32.79676,-60.22076,n
-33.12098,-60.18744,n
-33.13005,-60.24288,n
-33.11832,-60.17352,n
-32.81733,-60.39946,n
-33.11858,-60.17909,n
-32.82359,-60.39906,n
-32.82333,-60.39338,n
-32.82587,-60.3952,n
-32.81083,-60.39418,n
-32.71967,-60.33654,n
-32.80445,-60.22226,n
-32.82831,-60.3215,n
-32.83482,-60.32673,n
-33.11933,-60.27732,n
-32.81338,-60.39595,n
-32.83187,-60.27073,n
-32.82594,-60.31397,n
-32.83627,-60.26837,n
-32.8286,-60.3271,n
-32.90281,-60.42056,n
-32.87653,-60.32769,n
-32.79208,-60.22306,n
-32.68813,-60.58437,n
-32.98938,-60.39225,n
-32.78589,-60.22345,n
-32.80294,-60.22035,n
-32.90356,-60.43771,n
-33.11018,-60.26947,n
-32.90055,-60.43433,n
-33.11283,-60.27207,n
-32.98313,-60.39262,n
-32.99048,-60.41507,n
-32.98993,-60.40363,n
-32.84076,-60.3639,n
-32.97143,-60.41051,n
-33.03086,-60.34416,n
-33.11883,-60.18465,n
-32.71684,-60.33975,n
-32.72332,-60.34497,n
-32.71996,-60.34217,n
-32.84128,-60.37521,n
