latitude,longitude,confidence
-32.7118,-60.60594,n
-32.70836,-60.60676,n
-33.25775,-60.28555,n
-32.94267,-60.03742,n
-32.93837,-60.03368,n
-32.93917,-60.03828,n
-32.9416,-60.05203,n
-32.93811,-60.05289,n
-32.93138,-60.0354,n
-32.93219,-60.03999,n
-32.93519,-60.07751,n
-32.89347,-60.1293,n
-32.90113,-60.09064,n
-32.90195,-60.09521,n
-32.90104,-60.08929,n
-32.90184,-60.09387,n
-32.89756,-60.09015,n
-32.89835,-60.09473,n
-32.92253,-60.04716,n
-33.14362,-60.29724,n
-32.90765,-60.31498,n
-33.3754,-60.14621,n
-33.13639,-60.10749,n
-33.22035,-60.04988,n
-33.18693,-60.08554,n
-32.85722,-60.44307,n
-32.78455,-60.37657,n
-33.17223,-60.02237,n
-32.87409,-60.20526,n
-33.17491,-60.01693,n
-32.80544,-60.26811,n
-32.86293,-60.14154,n
-33.19069,-60.06555,n
-32.79527,-60.35523,n
-32.81608,-60.2052,n
-33.18456,-60.00975,n
-33.1741,-60.01234,n
-33.13211,-60.10379,n
-33.13292,-60.10835,n
-32.86424,-60.16973,n
-32.85804,-60.44392,n
-33.12378,-60.09888,n
-33.16768,-60.03784,n
-33.27652,-60.12164,n
-33.12662,-60.1362,n
-32.83158,-60.21089,n
-32.88143,-60.12273,n
-32.85785,-60.13327,n
-32.82731,-60.2072,n
-32.83266,-60.19642,n
-32.81638,-60.33133,n
-33.19389,-60.08383,n
-32.83319,-60.21997,n
-32.82811,-60.21174,n
-32.8884,-60.12101,n
-32.88571,-60.12643,n
-33.12583,-60.13164,n
-32.8249,-60.19357,n
-33.22116,-60.05444,n
-32.87069,-60.1444,n
-33.18107,-60.01062,n
-32.83346,-60.20096,n
-32.82175,-60.32063,n
-32.79638,-60.34088,n
-32.87794,-60.12358,n
-32.80308,-60.25452,n
-32.78644,-60.36674,n
-32.82303,-60.20351,n
-32.83614,-60.19557,n
-32.86076,-60.17059,n
-32.83801,-60.18563,n
-32.82383,-60.20804,n
-33.12652,-60.13367,n
-33.16874,-60.02323,n
-32.82891,-60.21627,n
-33.22121,-60.05325,n
-32.80733,-60.2582,n
-32.81606,-60.20403,n
-32.87141,-60.21064,n
-33.13025,-60.11376,n
-33.19935,-60.17738,n
-33.16687,-60.03326,n
-33.12435,-60.10094,n
-33.13478,-60.09838,n
-32.86932,-60.17799,n
-33.1313,-60.09923,n
-32.82678,-60.32881,n
-33.21773,-60.05411,n
-32.75718,-60.36445,n
-32.79985,-60.34004,n
-32.83454,-60.18648,n
-33.12702,-60.09553,n
-33.17303,-60.02695,n
-32.82409,-60.33416,n
-32.82677,-60.18362,n
-32.75797,-60.36894,n
-32.86105,-60.15152,n
-32.89178,-60.43112,n
-33.13745,-60.09296,n
-32.82571,-60.19812,n
-33.13665,-60.0884,n
-33.23993,-60.07841,n
-33.16955,-60.02781,n
-32.82544,-60.21712,n
-33.1428,-60.08213,n
-32.81159,-60.26189,n
-32.85997,-60.16603,n
-32.82704,-60.22619,n
-33.17062,-60.0132,n
-32.82143,-60.19442,n
-33.14093,-60.09211,n
-33.12251,-60.17513,n
-33.17696,-60.1734,n
-33.13009,-60.13534,n
-33.1293,-60.13079,n
-32.86264,-60.16063,n
-32.86185,-60.15607,n
-32.80812,-60.26273,n
-33.19469,-60.08839,n
-32.8051,-60.28705,n
-32.82223,-60.19897,n
-33.12999,-60.13282,n
-32.81985,-60.33049,n
-33.11904,-60.17599,n
-33.12782,-60.10009,n
-32.89188,-60.12016,n
-32.82244,-60.28283,n
-32.82166,-60.27831,n
-32.81527,-60.20066,n
-32.82088,-60.27378,n
-32.82624,-60.22166,n
-32.81663,-60.2701,n
-32.86345,-60.16518,n
-32.81002,-60.25282,n
-32.86584,-60.17884,n
-32.79258,-60.36057,n
-32.81907,-60.32598,n
-33.13559,-60.10294,n
-33.22812,-60.05272,n
-32.83079,-60.20635,n
-33.37886,-60.14536,n
