latitude,longitude,confidence
25.07212,-99.97398,n
25.0697,-100.0217,n
25.06905,-100.01777,n
25.06274,-99.97925,n
25.37141,-100.37461,n
25.36664,-100.38715,n
25.35768,-100.37331,n
25.3556,-100.38149,n
25.35501,-100.37772,n
25.3544,-100.37394,n
25.35381,-100.37018,n
25.35233,-100.38215,n
25.35173,-100.37837,n
25.35114,-100.3746,n
25.35054,-100.37084,n
25.34995,-100.36708,n
25.34906,-100.3828,n
25.34847,-100.37904,n
25.34787,-100.37527,n
25.34727,-100.37151,n
25.34668,-100.36775,n
25.34966,-100.38656,n
25.34609,-100.364,n
25.34579,-100.38347,n
25.3452,-100.3797,n
25.34461,-100.37595,n
25.34402,-100.3722,n
25.34343,-100.36845,n
25.34284,-100.36472,n
25.34077,-100.37291,n
25.34018,-100.36916,n
25.3396,-100.36543,n
25.33644,-100.37292,n
25.33584,-100.36917,n
25.33704,-100.37665,n
25.08015,-100.02341,n
25.07952,-100.01955,n
24.72333,-99.50983,n
25.0949,-99.98884,n
25.08648,-99.97882,n
25.08203,-99.97219,n
25.08262,-99.97589,n
25.07874,-99.97289,n
25.07934,-99.97659,n
25.07604,-99.97721,n
25.07543,-99.97343,n
25.38545,-100.39915,n
25.39774,-100.49799,n
25.39714,-100.49421,n
25.05914,-99.97645,n
25.05699,-99.98911,n
25.05626,-99.99339,n
25.0612,-99.98528,n
25.06048,-99.98955,n
25.06976,-99.97686,n
25.07325,-99.97723,n
25.06807,-100.00774,n
25.06619,-100.01881,n
25.06554,-100.02266,n
25.07219,-100.0045,n
25.06969,-100.0192,n
25.06903,-100.02304,n
25.06836,-100.027,n
25.07995,-100.02174,n
25.09159,-99.99512,n
25.07469,-99.96877,n
25.0809,-99.97408,n
25.39749,-100.48582,n
25.39552,-100.49721,n
25.40026,-100.49072,n
25.39959,-100.49456,n
25.39893,-100.49837,n
25.40233,-100.49963,n
