latitude,longitude,confidence
-33.36992,-60.16115,n
-32.77729,-60.26209,n
-32.87919,-60.18604,n
-32.81535,-60.3853,n
-32.77276,-60.2805,n
-32.79721,-60.27291,n
-32.87379,-60.19097,n
-32.81508,-60.38074,n
-32.78584,-60.27385,n
-32.77816,-60.27555,n
-32.77368,-60.26132,n
-32.8805,-60.51097,n
-32.88058,-60.50978,n
-32.79153,-60.27337,n
-32.77473,-60.27929,n
-32.77161,-60.26255,n
-33.1892,-60.31887,n
-32.92521,-60.10201,n
-32.79512,-60.27096,n
-32.89166,-60.29076,n
-32.81252,-60.38279,n
-32.77719,-60.27767,n
-32.97165,-60.37046,n
-32.97264,-60.37204,n
-32.77126,-60.25601,n
-32.80256,-60.27413,n
-32.8096,-60.37213,n
-32.77872,-60.25919,n
-32.87545,-60.18358,n
-32.87694,-60.18902,n
-32.86497,-60.19352,n
-32.81107,-60.37746,n
-32.75541,-60.36168,n
-32.88424,-60.28763,n
