latitude,longitude,confidence
-32.8481,-60.55067,n
-32.85066,-60.54229,n
-32.80639,-60.51287,n
-32.84956,-60.55107,n
-32.85217,-60.54272,n
-32.97724,-60.26404,n
-32.98405,-60.26709,n
-32.99765,-60.27321,n
-33.03397,-60.15395,n
-33.00446,-60.27624,n
-33.01126,-60.27932,n
-33.00882,-60.28735,n
-33.01807,-60.28236,n
-33.01563,-60.29039,n
-32.98059,-60.26342,n
-32.98741,-60.26642,n
-32.99423,-60.26943,n
-33.03114,-60.15065,n
-33.00104,-60.27245,n
-33.03792,-60.15364,n
-33.00537,-60.28345,n
-33.00785,-60.27549,n
-33.01466,-60.27851,n
-33.01218,-60.28651,n
-33.019,-60.2895,n
-33.02148,-60.2815,n
-33.0892,-60.2122,n
-33.09597,-60.21522,n
-33.07349,-60.31379,n
-33.14143,-60.21759,n
-33.1482,-60.22063,n
-33.15059,-60.21273,n
-33.15257,-60.23159,n
-33.15496,-60.22368,n
-33.15736,-60.21578,n
-33.15453,-60.25052,n
-33.15694,-60.24257,n
-33.15934,-60.23465,n
-33.16173,-60.22673,n
-33.16412,-60.21882,n
-33.16651,-60.21093,n
-33.15649,-60.26947,n
-33.16129,-60.2536,n
-33.1637,-60.24564,n
-33.1661,-60.2377,n
-33.16848,-60.22981,n
-33.17087,-60.2219,n
-33.17326,-60.214,n
-33.0763,-60.31584,n
-33.14485,-60.21978,n
-33.15162,-60.22278,n
-33.15405,-60.21494,n
-33.12895,-60.32101,n
-33.13142,-60.31304,n
-33.15596,-60.23368,n
-33.1584,-60.2258,n
-33.16083,-60.21791,n
-33.16326,-60.21004,n
-33.15296,-60.26838,n
-33.15784,-60.25256,n
-33.1603,-60.24461,n
-33.16273,-60.2367,n
-33.16516,-60.22884,n
-33.16759,-60.22096,n
-33.17002,-60.21305,n
-33.17245,-60.20519,n
-33.15974,-60.2714,n
-33.16219,-60.26348,n
-33.16707,-60.24764,n
-33.17435,-60.224,n
-33.17678,-60.21609,n
-33.18112,-60.22702,n
-33.16653,-60.2744,n
-33.16898,-60.26648,n
-33.1787,-60.23488,n
-33.17332,-60.27744,n
-33.17576,-60.26951,n
-33.18547,-60.2379,n
-33.18739,-60.25676,n
-33.18983,-60.2488,n
-33.19658,-60.25188,n
-33.19538,-60.20191,n
-33.19558,-60.24406,n
-33.19637,-60.24855,n
-33.19214,-60.2449,n
-33.18869,-60.24575,n
-33.18948,-60.25023,n
-33.1914,-60.24848,n
-33.18795,-60.24932,n
-33.18873,-60.25381,n
-33.1684,-60.24006,n
-33.14275,-60.13345,n
-33.13504,-60.13062,n
-33.1374,-60.1442,n
-33.16393,-60.29729,n
-33.13,-60.12241,n
-33.13079,-60.12694,n
-33.13158,-60.13148,n
-33.15971,-60.29366,n
-33.12733,-60.1278,n
-33.12308,-60.12411,n
-33.12387,-60.12865,n
-33.12466,-60.13317,n
-33.12703,-60.14675,n
-33.12782,-60.15128,n
-33.12041,-60.1295,n
-33.11774,-60.13487,n
-33.11853,-60.1394,n
-33.11932,-60.14393,n
-33.08893,-60.21727,n
-33.05916,-60.30246,n
-33.05572,-60.3033,n
-33.05228,-60.30414,n
-33.04728,-60.29601,n
-33.04384,-60.29685,n
-33.03617,-60.29404,n
-33.03194,-60.29039,n
-33.01204,-60.19675,n
-33.0078,-60.19308,n
-33.00701,-60.18856,n
-33.00859,-60.1976,n
-33.00355,-60.18941,n
-33.00434,-60.19392,n
-33.00009,-60.19026,n
-33.00088,-60.19477,n
-32.97136,-60.21139,n
