latitude,longitude,confidence
25.37765,-100.49931,n
25.37804,-100.49732,n
24.95658,-100.32819,n
24.95304,-100.32918,n
24.95387,-100.33369,n
24.95028,-100.33436,n
24.93226,-100.35789,n
24.93306,-100.36223,n
24.92865,-100.35846,n
24.92504,-100.35905,n
24.92584,-100.36346,n
25.00013,-99.72073,n
25.3488,-100.39515,n
25.34801,-100.39073,n
25.34722,-100.38633,n
25.34301,-100.38346,n
25.33546,-100.38258,n
25.33474,-100.37859,n
25.33398,-100.3744,n
25.3294,-100.38992,n
25.32788,-100.3815,n
25.32706,-100.37696,n
25.32343,-100.37725,n
25.32424,-100.38179,n
25.39175,-100.43568,n
25.39205,-100.49774,n
25.3912,-100.49303,n
25.39032,-100.48827,n
25.38855,-100.49864,n
25.38776,-100.49429,n
25.38245,-100.46538,n
25.38509,-100.47974,n
25.3842,-100.47491,n
25.38332,-100.47009,n
25.38158,-100.46062,n
25.38494,-100.49897,n
25.38414,-100.49458,n
25.38166,-100.48103,n
25.38127,-100.49902,n
25.38167,-100.4971,n
25.38688,-99.93736,n
25.38733,-99.93999,n
25.3837,-99.94081,n
25.31367,-99.68288,n
25.37378,-100.41178,n
25.37763,-100.40867,n
25.3777,-100.49796,n
24.92994,-100.35447,n
24.92937,-100.35822,n
24.93265,-100.35883,n
24.93321,-100.35506,n
25.0005,-99.72063,n
25.3279,-100.41946,n
25.34347,-100.38332,n
25.34677,-100.38387,n
25.34892,-100.39201,n
25.34835,-100.3958,n
25.35164,-100.39636,n
25.0776,-100.00398,n
25.08146,-100.00078,n
25.0809,-100.00456,n
25.38282,-100.46394,n
25.39064,-100.43433,n
25.38382,-100.47971,n
25.38325,-100.48351,n
25.38426,-100.4992,n
25.38924,-100.48848,n
25.39253,-100.48906,n
25.39196,-100.49285,n
25.39139,-100.49664,n
25.23466,-99.88329,n
25.11484,-99.70506,n
