latitude,longitude,confidence
-33.15891,-60.43957,n
-33.16233,-60.44026,n
-33.15952,-60.4352,n
-33.16294,-60.43588,n
-33.12608,-60.18172,n
-33.1267,-60.17728,n
-33.18996,-60.31937,n
-33.19339,-60.32005,n
-33.25637,-60.28476,n
-32.50059,-60.68696,n
-32.50336,-60.6919,n
-32.50397,-60.68764,n
-32.50674,-60.69258,n
-32.50736,-60.68834,n
-32.51012,-60.69327,n
-33.36692,-60.16343,n
-33.36019,-60.1499,n
-33.37629,-60.14691,n
-33.35956,-60.15438,n
-33.36754,-60.15896,n
-33.30815,-60.03828,n
-33.36247,-60.14414,n
-33.36186,-60.14863,n
-33.36938,-60.14553,n
-33.37161,-60.15518,n
-33.36063,-60.15758,n
-33.36125,-60.1531,n
-33.35779,-60.1524,n
-33.36082,-60.14543,n
-33.2934,-60.13437,n
-33.307,-60.03822,n
-33.30761,-60.04315,n
-33.37602,-60.14749,n
-33.13234,-60.18001,n
-33.13173,-60.17506,n
-33.1287,-60.18064,n
-33.12568,-60.18623,n
-33.0651,-60.32082,n
-33.06145,-60.32145,n
-33.0578,-60.32207,n
-33.28684,-60.17099,n
-33.28832,-60.06455,n
-33.2883,-60.06666,n
-33.29132,-60.06109,n
-33.29192,-60.06602,n
-33.03552,-60.02343,n
-33.03728,-60.00822,n
-32.51456,-60.69456,n
-32.51517,-60.69965,n
-32.51027,-60.69007,n
-32.51147,-60.70026,n
-32.50598,-60.68561,n
-32.50658,-60.6907,n
-32.50229,-60.68623,n
-32.50411,-60.68353,n
-32.50474,-60.68861,n
-32.50043,-60.68415,n
-32.50105,-60.68922,n
-33.15781,-60.20602,n
