Dates,NI,NIA
2021-05-01,0,0
2021-05-02,0,0
2021-05-03,0,0
2021-05-04,0,0
2021-05-05,0,0
2021-05-06,3,3
2021-05-07,0,3
2021-05-08,6,9
2021-05-09,0,9
2021-05-10,0,9
2021-05-11,2,11
2021-05-12,7,18
2021-05-13,0,18
2021-05-14,3,21
2021-05-15,9,30
2021-05-16,7,37
2021-05-17,9,46
2021-05-18,3,49
2021-05-19,0,49
2021-05-20,0,49
2021-05-21,0,49
2021-05-22,0,49
2021-05-23,0,49
2021-05-24,10,59
2021-05-25,1,60
2021-05-26,0,60
2021-05-27,3,63
2021-05-28,0,63
2021-05-29,0,63
2021-05-30,4,67
2021-05-31,3,70
2021-06-01,0,70
