Dates,NI
2022-08-08,64
2022-08-09,1
2022-08-10,45
2022-08-11,58
2022-08-12,46
2022-08-13,103
2022-08-14,338
2022-08-15,272
2022-08-16,153
2022-08-17,126
2022-08-18,330
2022-08-19,455
2022-08-20,344
2022-08-21,120
2022-08-22,49
2022-08-23,71
2022-08-24,62
2022-08-25,11
2022-08-26,9
2022-08-27,14
2022-08-28,24
2022-08-29,11
2022-08-30,9
2022-08-31,0
2022-09-01,0
2022-09-02,11
2022-09-03,16
2022-09-04,15
2022-09-05,6
2022-09-06,8
2022-09-07,11
2022-09-08,19
2022-09-09,43
2022-09-10,26
2022-09-11,27
2022-09-12,109
2022-09-13,191
2022-09-14,57
2022-09-15,64
2022-09-16,131
2022-09-17,3
2022-09-18,0
2022-09-19,0
2022-09-20,1
2022-09-21,0
2022-09-22,1
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,26
2022-09-27,8
2022-09-28,21
2022-09-29,2
2022-09-30,3
