Dates,NI
2021-03-01,2
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,1
2021-03-08,1
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,2
2021-03-14,131
2021-03-15,65
2021-03-16,30
2021-03-17,27
2021-03-18,16
2021-03-19,9
2021-03-20,38
2021-03-21,26
2021-03-22,20
2021-03-23,18
2021-03-24,32
2021-03-25,53
2021-03-26,110
2021-03-27,165
2021-03-28,37
2021-03-29,0
2021-03-30,32
2021-03-31,43
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,7
2021-04-08,11
2021-04-09,15
2021-04-10,32
2021-04-11,11
2021-04-12,35
2021-04-13,22
2021-04-14,12
2021-04-15,8
2021-04-16,29
2021-04-17,1
2021-04-18,0
2021-04-19,1
2021-04-20,4
2021-04-21,8
2021-04-22,1
2021-04-23,11
2021-04-24,22
2021-04-25,76
2021-04-26,39
2021-04-27,7
2021-04-28,20
2021-04-29,47
2021-04-30,0
