latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.099762,-60.337173,315.54,0.45,0.39,512,N,VIIRS,n,1,286.91,2.39,N,0.0
-33.086079,-60.350712,344.38,0.41,0.37,1736,N,VIIRS,n,1,307.09,6.59,D,3.0
-33.082623,-60.35136,345.24,0.41,0.37,1736,N,VIIRS,n,1,303.74,6.59,D,3.0
-33.084332,-60.348915000000005,348.15,0.41,0.37,1736,N,VIIRS,n,1,310.37,14.87,D,0.0
-33.084934000000004,-60.353367000000006,332.12,0.41,0.37,1736,N,VIIRS,n,1,300.29,6.26,D,3.0
