latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.794167,-60.279808,307.12,0.39,0.36,454,N,VIIRS,n,1,271.6,1.86,N,0.0
-32.794865,-60.275612,298.16,0.39,0.36,454,N,VIIRS,n,1,272.88,0.72,N,0.0
-32.754047,-60.70513199999999,330.16,0.4,0.37,454,N,VIIRS,n,1,275.47,2.64,N,0.0
-32.963161,-60.16523000000001,344.03,0.39,0.36,454,N,VIIRS,n,1,277.88,7.13,N,0.0
-32.966507,-60.166016000000006,327.54,0.39,0.36,454,N,VIIRS,n,1,274.36,2.67,N,0.0
-32.971127,-60.180134,306.74,0.39,0.36,454,N,VIIRS,n,1,273.15,1.21,N,0.0
-32.957851,-60.281475,303.96,0.39,0.36,454,N,VIIRS,n,1,270.42,0.97,N,0.0
-32.95924,-60.273079,301.58,0.39,0.36,454,N,VIIRS,n,1,273.59,1.12,N,0.0
-32.974468,-60.180912,307.4,0.39,0.36,454,N,VIIRS,n,1,271.61,1.21,N,0.0
-32.958904,-60.28000600000001,303.78,0.39,0.36,454,N,VIIRS,n,1,270.75,1.05,N,0.0
-32.97567,-60.17949300000001,304.41,0.39,0.36,454,N,VIIRS,n,1,273.28,1.07,N,0.0
-32.985142,-60.268742,315.89,0.39,0.36,454,N,VIIRS,n,1,273.12,2.06,N,0.0
-32.988491,-60.269527,309.28,0.39,0.36,454,N,VIIRS,n,1,270.26,1.32,N,0.0
-33.042995,-60.10841,298.36,0.39,0.36,454,N,VIIRS,n,1,268.83,0.67,N,0.0
-32.982819,-60.698421,323.35,0.4,0.37,454,N,VIIRS,n,1,273.16,1.38,N,0.0
-33.065922,-60.329353000000005,318.86,0.39,0.36,454,N,VIIRS,n,1,276.71,1.65,N,0.0
-33.067329,-60.320953,303.16,0.39,0.36,454,N,VIIRS,n,1,273.19,1.5,N,0.0
-33.069271,-60.330139,322.41,0.39,0.36,454,N,VIIRS,n,1,279.0,1.65,N,0.0
-33.068569000000004,-60.334339,297.05,0.39,0.36,454,N,VIIRS,n,1,266.53,1.65,N,0.0
