latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.28186,-100.19838,303.89,0.57,0.43,843,1,VIIRS,n,2.0NRT,285.79,10.22,N
25.4337,-99.8725,305.86,0.39,0.44,843,1,VIIRS,n,2.0NRT,281.7,0.69,N
25.35013,-99.57639,303.15,0.41,0.45,843,1,VIIRS,n,2.0NRT,285.94,0.98,N
25.24297,-99.82072,302.96,0.4,0.44,843,1,VIIRS,n,2.0NRT,287.16,9.24,N
25.23898,-99.8217,351.06,0.4,0.44,843,1,VIIRS,n,2.0NRT,296.03,9.24,N
25.24201,-99.82065,330.09,0.4,0.44,843,1,VIIRS,n,2.0NRT,288.52,10.36,N
25.23802,-99.82163,351.24,0.4,0.44,843,1,VIIRS,n,2.0NRT,296.11,10.36,N
25.23403,-99.82261,320.33,0.4,0.44,843,1,VIIRS,n,2.0NRT,288.11,1.44,N
25.23327,-99.81871,309.21,0.4,0.44,843,1,VIIRS,n,2.0NRT,287.56,1.44,N
25.29385,-100.17569,330.42,0.57,0.43,843,1,VIIRS,n,2.0NRT,291.33,4.56,N
25.29483,-100.18077,308.44,0.57,0.43,843,1,VIIRS,n,2.0NRT,289.47,1.9,N
25.2892,-100.1728,324.55,0.57,0.43,843,1,VIIRS,n,2.0NRT,288.08,4.56,N
25.28822,-100.16774,324.56,0.57,0.43,843,1,VIIRS,n,2.0NRT,287.87,4.38,N
25.22582,-99.84496,340.83,0.4,0.44,843,1,VIIRS,n,2.0NRT,291.2,5.17,N
25.22507,-99.84109,332.56,0.4,0.44,843,1,VIIRS,n,2.0NRT,289.89,3.74,N
25.29313,-100.19318,300.45,0.57,0.43,843,1,VIIRS,n,2.0NRT,287.84,2.14,N
25.29203,-100.18748,303.5,0.57,0.43,843,1,VIIRS,n,2.0NRT,288.96,1.9,N
25.2905,-100.20081,344.32,0.57,0.43,843,1,VIIRS,n,2.0NRT,293.56,9.38,N
25.2833,-100.16344,329.25,0.57,0.43,843,1,VIIRS,n,2.0NRT,290.66,2.9,N
25.22108,-99.84206,345.46,0.4,0.44,843,1,VIIRS,n,2.0NRT,288.49,5.15,N
25.28936,-100.19484,308.33,0.57,0.43,843,1,VIIRS,n,2.0NRT,289.89,9.38,N
25.28437,-100.16898,306.69,0.57,0.43,843,1,VIIRS,n,2.0NRT,286.88,2.9,N
25.28673,-100.20243,343.76,0.57,0.43,843,1,VIIRS,n,2.0NRT,294.41,9.38,N
25.28559,-100.19652,346.96,0.57,0.43,843,1,VIIRS,n,2.0NRT,291.33,9.38,N
25.27942,-100.16454,327.77,0.57,0.43,843,1,VIIRS,n,2.0NRT,290.24,2.9,N
25.28448,-100.19073,303.43,0.57,0.43,843,1,VIIRS,n,2.0NRT,288.78,2.21,N
25.2834,-100.18512,301.55,0.57,0.43,843,1,VIIRS,n,2.0NRT,288.54,2.21,N
25.28044,-100.16978,299.84,0.57,0.43,843,1,VIIRS,n,2.0NRT,287.8,2.9,N
25.28304,-100.20445,337.4,0.57,0.43,843,1,VIIRS,n,2.0NRT,293.58,10.22,N
25.28072,-100.19244,348.89,0.57,0.43,843,1,VIIRS,n,2.0NRT,290.72,9.23,N
25.2796,-100.18663,333.43,0.57,0.43,843,1,VIIRS,n,2.0NRT,290.83,9.23,N
25.27846,-100.18071,336.29,0.57,0.43,843,1,VIIRS,n,2.0NRT,290.82,5.55,N
25.27744,-100.17545,343.98,0.57,0.43,843,1,VIIRS,n,2.0NRT,293.68,5.55,N
25.27539,-100.16483,334.89,0.57,0.43,843,1,VIIRS,n,2.0NRT,292.33,7.22,N
25.27645,-100.17032,317.77,0.57,0.43,843,1,VIIRS,n,2.0NRT,289.84,7.22,N
25.27244,-100.17074,328.77,0.57,0.43,843,1,VIIRS,n,2.0NRT,288.55,7.22,N
25.27352,-100.17635,297.5,0.57,0.43,843,1,VIIRS,n,2.0NRT,286.05,5.55,N
25.3095,-99.65589,337.6,0.43,0.38,1957,1,VIIRS,n,2.0NRT,297.09,4.6,D
