latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.974598,-60.506363,306.12,0.45,0.39,518,N,VIIRS,n,1,290.92,1.1,N,3.0
-32.979923,-60.522346,323.15,0.45,0.39,518,N,VIIRS,n,1,293.0,3.01,N,3.0
-32.980366,-60.547428,328.88,0.45,0.39,518,N,VIIRS,n,1,291.55,3.43,N,3.0
-32.980999,-60.542545,314.2,0.45,0.39,518,N,VIIRS,n,1,291.17,2.17,N,0.0
-32.987774,-60.518776,333.5,0.45,0.39,518,N,VIIRS,n,1,291.97,4.83,N,0.0
-32.991386,-60.519432,339.17,0.45,0.39,518,N,VIIRS,n,1,310.29,32.84,N,0.0
-32.993092,-60.534744,346.75,0.45,0.39,518,N,VIIRS,n,1,302.78,17.28,N,3.0
-32.994999,-60.520088,341.84,0.45,0.39,518,N,VIIRS,n,1,306.18,32.84,N,0.0
-32.994362,-60.524979,301.98,0.45,0.39,518,N,VIIRS,n,1,290.88,32.84,N,0.0
-32.995632,-60.51519,308.77,0.45,0.39,518,N,VIIRS,n,1,292.89,6.4,N,0.0
-32.9967,-60.5354,345.11,0.45,0.39,518,N,VIIRS,n,1,302.25,6.25,N,3.0
-32.998608000000004,-60.520741,337.39,0.45,0.39,518,N,VIIRS,n,1,325.32,47.76,N,0.0
-32.997337,-60.53051800000001,305.93,0.45,0.39,518,N,VIIRS,n,1,292.92,6.25,N,3.0
-32.997971,-60.525631,305.68,0.45,0.39,518,N,VIIRS,n,1,291.75,47.76,N,0.0
-32.999245,-60.515839,317.86,0.45,0.39,518,N,VIIRS,n,1,294.15,20.04,N,0.0
-33.000309,-60.53605699999999,332.57,0.45,0.39,518,N,VIIRS,n,1,294.36,6.25,N,3.0
-33.00222,-60.521393,336.64,0.45,0.39,518,N,VIIRS,n,1,330.69,47.76,N,0.0
-33.002857,-60.516502,323.23,0.45,0.39,518,N,VIIRS,n,1,295.51,20.04,N,0.0
-33.001583000000004,-60.52628299999999,306.16,0.45,0.39,518,N,VIIRS,n,1,291.49,47.76,N,0.0
-33.003918,-60.536705000000005,329.95,0.45,0.39,518,N,VIIRS,n,1,294.33,8.01,N,0.0
-33.004555,-60.531826,324.58,0.45,0.39,518,N,VIIRS,n,1,293.31,8.01,N,0.0
-32.982906,-60.696857,305.92,0.45,0.39,518,N,VIIRS,n,1,290.3,0.62,N,2.0
-33.00647,-60.517155,308.52,0.45,0.39,518,N,VIIRS,n,1,291.97,5.42,N,0.0
-33.007523,-60.537361,329.59,0.45,0.39,518,N,VIIRS,n,1,293.01,8.01,N,0.0
-33.008163,-60.532482,340.87,0.45,0.39,518,N,VIIRS,n,1,300.74,8.01,N,0.0
-33.010082000000004,-60.517811,317.0,0.45,0.39,518,N,VIIRS,n,1,293.1,5.42,N,0.0
-33.001225,-60.533009,320.96,0.45,0.39,518,N,VIIRS,n,1,295.29,4.42,N,0.0
-33.000609999999995,-60.537899,310.64,0.45,0.39,518,N,VIIRS,n,1,289.71,3.5,N,0.0
-33.003685,-60.51342,302.68,0.45,0.39,518,N,VIIRS,n,1,291.64,2.04,N,0.0
-33.004833000000005,-60.533657,345.07,0.45,0.39,518,N,VIIRS,n,1,296.29,4.42,N,0.0
-32.984516,-60.694092000000005,304.95,0.45,0.39,518,N,VIIRS,n,1,290.18,0.77,N,2.0
-33.005451,-60.528774,305.27,0.45,0.39,518,N,VIIRS,n,1,292.49,4.42,N,0.0
-33.008441999999995,-60.534328,354.91,0.45,0.39,518,N,VIIRS,n,1,300.65,7.03,N,0.0
-33.00906,-60.529430000000005,318.17,0.45,0.39,518,N,VIIRS,n,1,294.03,7.03,N,0.0
-33.010914,-60.514732,301.77,0.45,0.39,518,N,VIIRS,n,1,290.84,2.38,N,0.0
-33.012671999999995,-60.530087,319.82,0.45,0.39,518,N,VIIRS,n,1,291.75,7.03,N,0.0
-33.016903000000006,-60.525845,336.77,0.45,0.39,518,N,VIIRS,n,1,290.45,3.35,N,0.0
-33.017521,-60.520947,302.49,0.45,0.39,518,N,VIIRS,n,1,291.33,3.35,N,0.0
-33.025909000000006,-60.521179,355.19,0.41,0.37,1736,N,VIIRS,n,1,328.95,43.04,D,0.0
-33.026505,-60.52562,352.97,0.41,0.37,1736,N,VIIRS,n,1,327.51,43.04,D,0.0
-33.023052,-60.526268,348.59,0.41,0.37,1736,N,VIIRS,n,1,321.88,11.25,D,0.0
-33.019005,-60.522476,352.51,0.41,0.37,1736,N,VIIRS,n,1,324.62,11.25,D,0.0
-32.964890000000004,-60.514465,347.76,0.41,0.37,1736,N,VIIRS,n,1,313.08,6.0,D,0.0
