latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.737389,-60.283947,306.52,0.62,0.71,400,N,VIIRS,n,1,276.18,2.62,N,0.0
-32.7733,-60.284122,314.51,0.62,0.71,400,N,VIIRS,n,1,276.05,2.96,N,0.0
-32.779705,-60.286827,308.36,0.62,0.71,400,N,VIIRS,n,1,276.46,2.96,N,0.0
-32.774296,-60.290024,316.53,0.62,0.71,400,N,VIIRS,n,1,275.84,4.09,N,0.0
-32.776253000000004,-60.283386,307.77,0.62,0.71,400,N,VIIRS,n,1,275.35,2.95,N,0.0
-32.782669,-60.28605699999999,301.97,0.62,0.71,400,N,VIIRS,n,1,276.1,1.23,N,0.0
-32.732719,-60.282261,296.31,0.32,0.55,542,N,VIIRS,n,1,276.53,1.45,N,0.0
-32.769047,-60.28271899999999,301.01,0.32,0.55,542,N,VIIRS,n,1,275.61,1.28,N,0.0
-32.773643,-60.290413,308.74,0.32,0.55,542,N,VIIRS,n,1,276.39,1.79,N,0.0
-32.773922,-60.28685,318.28,0.32,0.55,542,N,VIIRS,n,1,276.54,1.28,N,0.0
-32.732452,-60.285824,309.96,0.32,0.55,542,N,VIIRS,n,1,276.24,1.46,N,0.0
-33.206001,-60.085815,337.23,0.49,0.4,1800,N,VIIRS,n,1,300.1,4.57,D,3.0
-33.202309,-60.0868,334.71,0.49,0.4,1800,N,VIIRS,n,1,299.7,5.06,D,0.0
-33.203297,-60.092026,332.88,0.49,0.4,1800,N,VIIRS,n,1,297.41,5.06,D,0.0
-32.805653,-60.23540500000001,339.8,0.49,0.4,1806,N,VIIRS,n,1,299.61,12.72,D,0.0
-32.800971999999994,-60.231174,333.41,0.49,0.4,1806,N,VIIRS,n,1,297.36,6.76,D,0.0
-32.801956,-60.236374,342.79,0.49,0.4,1806,N,VIIRS,n,1,300.45,12.0,D,0.0
-32.802937,-60.241573,352.71,0.49,0.4,1806,N,VIIRS,n,1,306.51,12.0,D,0.0
-32.797279,-60.232147,344.81,0.49,0.4,1806,N,VIIRS,n,1,297.92,6.76,D,0.0
-32.793583,-60.233116,342.73,0.49,0.4,1806,N,VIIRS,n,1,300.61,11.0,D,0.0
-32.794567,-60.238316000000005,325.32,0.49,0.4,1806,N,VIIRS,n,1,296.3,2.85,D,0.0
-32.797515999999995,-60.25389499999999,331.54,0.49,0.4,1806,N,VIIRS,n,1,297.17,6.4,D,0.0
-32.798496,-60.25907900000001,333.05,0.49,0.4,1806,N,VIIRS,n,1,296.35,5.45,D,0.0
-32.793823,-60.254864000000005,342.16,0.49,0.4,1806,N,VIIRS,n,1,297.98,6.4,D,0.0
-32.793079,-60.271378000000006,335.29,0.48,0.4,1806,N,VIIRS,n,1,295.19,3.17,D,0.0
-32.789390999999995,-60.272343000000006,326.49,0.48,0.4,1806,N,VIIRS,n,1,294.87,3.17,D,0.0
-32.790371,-60.277527,334.93,0.48,0.4,1806,N,VIIRS,n,1,291.84,3.17,D,0.0
-32.785702,-60.273312,342.17,0.48,0.4,1806,N,VIIRS,n,1,294.51,5.3,D,0.0
-32.787665999999994,-60.283665,344.78,0.48,0.4,1806,N,VIIRS,n,1,311.79,30.18,D,0.0
-32.782996999999995,-60.279453,328.91,0.48,0.4,1806,N,VIIRS,n,1,294.13,5.3,D,0.0
-32.783978000000005,-60.28463000000001,351.08,0.48,0.4,1806,N,VIIRS,n,1,311.72,30.18,D,0.0
-32.784962,-60.289799,325.41,0.48,0.4,1806,N,VIIRS,n,1,289.52,30.18,D,0.0
-32.779308,-60.280415000000005,330.74,0.48,0.4,1806,N,VIIRS,n,1,294.94,5.18,D,0.0
-32.780293,-60.285591,343.54,0.48,0.4,1806,N,VIIRS,n,1,291.25,7.65,D,0.0
-32.829769,-60.58815,334.16,0.47,0.4,1806,N,VIIRS,n,1,297.55,3.34,D,0.0
-32.768246000000005,-60.28331,356.68,0.48,0.4,1806,N,VIIRS,n,1,300.74,32.71,D,0.0
-32.76923,-60.28848299999999,351.12,0.48,0.4,1806,N,VIIRS,n,1,311.31,49.24,D,0.0
-32.82613,-60.589085,331.19,0.47,0.4,1806,N,VIIRS,n,1,298.05,3.34,D,0.0
-32.764553,-60.284275,346.74,0.48,0.4,1806,N,VIIRS,n,1,294.53,7.37,D,0.0
-32.765545,-60.289452,335.21,0.48,0.4,1806,N,VIIRS,n,1,293.19,8.83,D,0.0
-32.760864,-60.285236,335.81,0.48,0.4,1806,N,VIIRS,n,1,295.66,7.37,D,0.0
-32.761856,-60.290413,356.68,0.48,0.4,1806,N,VIIRS,n,1,297.2,8.83,D,0.0
-32.756187,-60.281029,328.35,0.48,0.4,1806,N,VIIRS,n,1,301.0,10.64,D,0.0
-32.759155,-60.296539,355.4,0.48,0.4,1806,N,VIIRS,n,1,304.09,28.31,D,0.0
-32.760143,-60.301712,336.52,0.48,0.4,1806,N,VIIRS,n,1,299.06,13.51,D,0.0
-32.752499,-60.281994,337.25,0.48,0.4,1806,N,VIIRS,n,1,296.17,10.64,D,0.0
-32.75349,-60.287163,354.97,0.48,0.4,1806,N,VIIRS,n,1,309.07,10.64,D,0.0
-32.754478000000006,-60.292339,354.69,0.48,0.4,1806,N,VIIRS,n,1,303.09,28.31,D,0.0
-32.75547,-60.297504,342.98,0.48,0.4,1806,N,VIIRS,n,1,310.22,28.31,D,0.0
-32.76392,-60.286201,346.98,0.48,0.4,1806,N,VIIRS,n,1,294.87,8.69,D,0.0
-32.760231,-60.28717,348.89,0.48,0.4,1806,N,VIIRS,n,1,296.95,8.69,D,0.0
-32.761192,-60.292347,350.6,0.48,0.4,1806,N,VIIRS,n,1,298.13,8.69,D,0.0
-32.762153999999995,-60.297531000000006,326.17,0.48,0.4,1806,N,VIIRS,n,1,295.72,3.65,D,0.0
-32.755577,-60.282955,346.72,0.48,0.4,1806,N,VIIRS,n,1,305.41,7.39,D,0.0
-32.757504,-60.293316,355.86,0.48,0.4,1806,N,VIIRS,n,1,303.19,24.64,D,0.0
-32.758469,-60.29849599999999,355.02,0.48,0.4,1806,N,VIIRS,n,1,305.19,72.38,D,0.0
-32.751888,-60.28392,337.76,0.48,0.4,1806,N,VIIRS,n,1,295.09,7.39,D,0.0
-32.753819,-60.294289,351.73,0.48,0.4,1806,N,VIIRS,n,1,302.28,24.64,D,0.0
-32.744324,-60.264133,326.55,0.49,0.4,1806,N,VIIRS,n,1,296.23,2.6,D,0.0
-32.748196,-60.284889,327.15,0.48,0.4,1806,N,VIIRS,n,1,297.83,6.95,D,0.0
-32.749161,-60.290073,348.89,0.48,0.4,1806,N,VIIRS,n,1,299.8,15.0,D,0.0
-32.75013,-60.29525,344.74,0.48,0.4,1806,N,VIIRS,n,1,302.07,15.0,D,0.0
-32.743538,-60.280674,347.05,0.49,0.4,1806,N,VIIRS,n,1,308.22,6.95,D,0.0
-32.744507,-60.285858,346.63,0.48,0.4,1806,N,VIIRS,n,1,310.34,6.95,D,0.0
-32.745476000000004,-60.291035,341.45,0.48,0.4,1806,N,VIIRS,n,1,299.15,15.0,D,0.0
-32.746441,-60.296219,352.69,0.48,0.4,1806,N,VIIRS,n,1,295.42,15.0,D,0.0
-32.73888,-60.276447,338.27,0.49,0.4,1806,N,VIIRS,n,1,298.45,8.77,D,0.0
-32.739849,-60.281631,354.06,0.49,0.4,1806,N,VIIRS,n,1,317.18,22.05,D,0.0
-32.740814,-60.286823,354.49,0.48,0.4,1806,N,VIIRS,n,1,312.85,22.05,D,0.0
-32.805958000000004,-60.638309,332.86,0.47,0.4,1806,N,VIIRS,n,1,297.82,3.9,D,0.0
-32.810551000000004,-60.663322,337.64,0.47,0.39,1806,N,VIIRS,n,1,300.95,15.81,D,3.0
-32.81147,-60.668324,354.9,0.47,0.39,1806,N,VIIRS,n,1,304.97,17.37,D,3.0
-32.736156,-60.2826,346.24,0.49,0.4,1806,N,VIIRS,n,1,302.37,22.05,D,0.0
-32.737129,-60.287792,355.68,0.48,0.4,1806,N,VIIRS,n,1,314.91,22.05,D,0.0
-32.806927,-60.66425699999999,353.87,0.47,0.39,1806,N,VIIRS,n,1,301.21,15.81,D,3.0
-32.807842,-60.669258,336.79,0.47,0.39,1806,N,VIIRS,n,1,294.98,17.37,D,3.0
-32.732468,-60.28356899999999,351.32,0.49,0.4,1806,N,VIIRS,n,1,312.47,106.67,D,0.0
-32.728779,-60.284534,352.56,0.49,0.4,1806,N,VIIRS,n,1,316.01,106.67,D,0.0
