latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.54665,-60.653427,332.62,0.41,0.45,436,N,VIIRS,n,1,286.33,2.3,N,0.0
-32.545746,-60.657734,304.51,0.41,0.45,436,N,VIIRS,n,1,285.83,2.3,N,0.0
-32.54755,-60.649128000000005,299.46,0.4,0.45,436,N,VIIRS,n,1,284.82,0.35,N,0.0
-32.554790000000004,-60.65584200000001,331.57,0.41,0.45,436,N,VIIRS,n,1,285.88,2.75,N,0.0
-32.555691,-60.651535,295.69,0.4,0.45,436,N,VIIRS,n,1,284.86,0.75,N,0.0
-32.558861,-60.657051,330.63,0.41,0.45,436,N,VIIRS,n,1,286.46,2.95,N,0.0
-32.593849,-60.571838,302.64,0.4,0.44,436,N,VIIRS,n,1,286.59,0.5,N,0.0
-32.597897,-60.573032,304.68,0.4,0.44,436,N,VIIRS,n,1,286.87,0.5,N,0.0
-32.898121,-60.31971,296.9,0.38,0.43,436,N,VIIRS,n,1,286.77,0.37,N,0.0
-33.245079,-60.226273,313.58,0.56,0.43,436,N,VIIRS,n,1,287.66,1.83,N,3.0
-33.249012,-60.227425,310.35,0.56,0.43,436,N,VIIRS,n,1,287.53,1.83,N,3.0
-33.245762,-60.228764,323.96,0.56,0.43,436,N,VIIRS,n,1,288.14,3.85,N,3.0
-33.124912,-60.379707,328.41,0.41,0.61,1700,N,VIIRS,n,1,290.55,12.76,D,3.0
-33.12912,-60.377739,339.85,0.41,0.61,1700,N,VIIRS,n,1,296.14,31.02,D,0.0
-33.123398,-60.378174,340.76,0.41,0.61,1700,N,VIIRS,n,1,292.27,6.15,D,3.0
-32.979031,-60.014999,338.3,0.39,0.59,1700,N,VIIRS,n,1,294.93,18.11,D,3.0
-32.979591,-60.023674,341.28,0.39,0.59,1700,N,VIIRS,n,1,295.75,11.12,D,3.0
-33.012497,-60.550728,333.01,0.42,0.61,1700,N,VIIRS,n,1,294.49,2.45,D,0.0
-32.917202,-60.01588100000001,326.93,0.39,0.59,1700,N,VIIRS,n,1,295.11,5.38,D,0.0
-32.913574,-60.019638,338.57,0.39,0.59,1700,N,VIIRS,n,1,294.01,5.56,D,0.0
-32.871979,-60.439381,334.25,0.41,0.61,1700,N,VIIRS,n,1,296.07,1.99,D,3.0
-32.83831,-60.16655,333.92,0.4,0.6,1700,N,VIIRS,n,1,294.26,3.33,D,0.0
-32.71312,-60.488365,337.36,0.41,0.61,1700,N,VIIRS,n,1,295.5,2.54,D,0.0
-32.718529,-60.689106,336.36,0.43,0.62,1700,N,VIIRS,n,1,295.64,3.56,D,0.0
-32.730511,-60.508564,339.99,0.42,0.61,1700,N,VIIRS,n,1,297.48,3.39,D,3.0
-32.711842,-60.486938,328.27,0.41,0.61,1700,N,VIIRS,n,1,295.1,2.64,D,0.0
-32.718472,-60.687275,342.8,0.43,0.62,1700,N,VIIRS,n,1,295.62,4.01,D,0.0
-32.699375,-60.660393000000006,337.38,0.42,0.61,1700,N,VIIRS,n,1,292.73,7.71,D,0.0
-32.699657,-60.665092,350.72,0.42,0.61,1700,N,VIIRS,n,1,295.83,6.27,D,0.0
-32.629364,-60.656513,344.57,0.42,0.61,1700,N,VIIRS,n,1,297.12,5.66,D,0.0
-32.629993,-60.657631,341.54,0.42,0.61,1700,N,VIIRS,n,1,296.77,3.87,D,0.0
-33.017403,-60.431614,334.14,0.49,0.65,1842,N,VIIRS,n,1,286.28,3.41,D,0.0
-33.016571,-60.42955799999999,341.55,0.49,0.65,1842,N,VIIRS,n,1,289.16,6.18,D,0.0
-32.628712,-60.653297,340.2,0.49,0.65,1842,N,VIIRS,n,1,287.63,6.14,D,0.0
-32.627655,-60.651302,343.51,0.49,0.65,1842,N,VIIRS,n,1,291.32,6.43,D,0.0
-32.541569,-60.74023100000001,353.05,0.49,0.65,1842,N,VIIRS,n,1,292.87,10.78,D,0.0
-32.541191,-60.739841000000006,345.53,0.49,0.65,1842,N,VIIRS,n,1,292.55,11.37,D,0.0
-32.536697,-60.747219,334.4,0.49,0.65,1842,N,VIIRS,n,1,290.85,5.26,D,3.0
