latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.854992,-60.683212,301.91,0.59,0.53,424,N,VIIRS,n,1,263.73,0.48,N,3.0
-32.928669,-60.545475,305.63,0.58,0.52,424,N,VIIRS,n,1,259.13,2.1,N,0.0
-32.942516,-60.530064,340.85,0.58,0.52,424,N,VIIRS,n,1,263.95,12.88,N,0.0
-32.958206,-60.528687,321.49,0.58,0.52,424,N,VIIRS,n,1,261.33,12.91,N,0.0
-32.962955,-60.53029300000001,349.37,0.58,0.52,424,N,VIIRS,n,1,275.06,12.91,N,0.0
-32.96439,-60.524097,333.15,0.58,0.52,424,N,VIIRS,n,1,264.82,15.27,N,0.0
-32.961521000000005,-60.536499,295.2,0.58,0.52,424,N,VIIRS,n,1,257.89,12.91,N,0.0
-32.930325,-60.54742099999999,300.7,0.58,0.52,424,N,VIIRS,n,1,259.19,1.62,N,0.0
-32.933296,-60.535030000000006,300.74,0.58,0.52,424,N,VIIRS,n,1,260.71,2.16,N,0.0
-32.935081,-60.549011,300.66,0.58,0.52,424,N,VIIRS,n,1,260.58,1.62,N,0.0
-32.939533000000004,-60.530434,315.04,0.58,0.52,424,N,VIIRS,n,1,261.86,2.16,N,0.0
-32.941016999999995,-60.524254000000006,296.04,0.58,0.52,424,N,VIIRS,n,1,260.31,2.13,N,0.0
-32.944286,-60.532032,328.31,0.58,0.52,424,N,VIIRS,n,1,262.81,8.01,N,0.0
-32.945766,-60.525845,332.73,0.58,0.52,424,N,VIIRS,n,1,260.1,6.07,N,0.0
-32.939838,-60.55061,297.26,0.58,0.52,424,N,VIIRS,n,1,261.85,1.84,N,0.0
-32.960014,-60.530632,341.97,0.58,0.52,424,N,VIIRS,n,1,266.08,16.24,N,0.0
-32.961490999999995,-60.524452,337.44,0.58,0.52,424,N,VIIRS,n,1,268.01,16.24,N,0.0
-32.964764,-60.532230000000006,326.78,0.58,0.52,424,N,VIIRS,n,1,264.55,10.3,N,0.0
-32.966236,-60.526051,341.23,0.58,0.52,424,N,VIIRS,n,1,267.46,10.3,N,0.0
-32.967705,-60.519867000000005,298.19,0.58,0.52,424,N,VIIRS,n,1,263.87,6.61,N,0.0
-32.970982,-60.527641,344.15,0.58,0.52,424,N,VIIRS,n,1,266.49,10.3,N,0.0
-32.972446000000005,-60.52148100000001,338.63,0.58,0.52,424,N,VIIRS,n,1,267.06,6.61,N,0.0
-32.969513,-60.533829,297.5,0.58,0.52,424,N,VIIRS,n,1,261.13,10.3,N,0.0
-32.977196,-60.523079,347.86,0.58,0.52,424,N,VIIRS,n,1,270.18,14.49,N,3.0
-32.975731,-60.52924,300.98,0.58,0.52,424,N,VIIRS,n,1,263.98,2.92,N,0.0
-32.979012,-60.537025,302.15,0.58,0.52,424,N,VIIRS,n,1,263.42,2.92,N,0.0
-32.980473,-60.530849,306.82,0.58,0.52,424,N,VIIRS,n,1,264.11,2.92,N,0.0
