latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-33.03397,-60.15395,316.41,0.75,0.77,355,1,VIIRS,n,2.0NRT,282.07,4.28,N
-33.03114,-60.15065,301.91,0.75,0.77,355,1,VIIRS,n,2.0NRT,280.2,1.62,N
-33.03792,-60.15364,306.27,0.75,0.77,355,1,VIIRS,n,2.0NRT,280.85,1.62,N
-33.0892,-60.2122,298.65,0.75,0.77,355,1,VIIRS,n,2.0NRT,279.56,2.32,N
-33.09597,-60.21522,315.24,0.75,0.77,355,1,VIIRS,n,2.0NRT,279.7,2.32,N
-33.14143,-60.21759,295.78,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.4,1.29,N
-33.1482,-60.22063,299.12,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.1,2.15,N
-33.15059,-60.21273,297.92,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.94,2.15,N
-33.15257,-60.23159,298.25,0.75,0.77,355,1,VIIRS,n,2.0NRT,281.22,2.53,N
-33.15496,-60.22368,305.22,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.28,2.15,N
-33.15736,-60.21578,302.7,0.75,0.77,355,1,VIIRS,n,2.0NRT,285.4,2.15,N
-33.15694,-60.24257,298.14,0.75,0.77,355,1,VIIRS,n,2.0NRT,280.88,2.97,N
-33.15934,-60.23465,314.15,0.75,0.77,355,1,VIIRS,n,2.0NRT,286.62,2.97,N
-33.16173,-60.22673,310.32,0.75,0.77,355,1,VIIRS,n,2.0NRT,288.32,3.02,N
-33.16412,-60.21882,295.91,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.7,3.02,N
-33.16651,-60.21093,302.78,0.75,0.77,355,1,VIIRS,n,2.0NRT,285.72,4.45,N
-33.1637,-60.24564,304.5,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.12,2.97,N
-33.1661,-60.2377,298.87,0.75,0.77,355,1,VIIRS,n,2.0NRT,281.97,2.97,N
-33.16848,-60.22981,306.18,0.75,0.77,355,1,VIIRS,n,2.0NRT,286.78,3.02,N
-33.17087,-60.2219,302.67,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.72,3.02,N
-33.17326,-60.214,308.73,0.75,0.77,355,1,VIIRS,n,2.0NRT,288.54,4.45,N
-33.14485,-60.21978,296.33,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.0,2.31,N
-33.15162,-60.22278,300.41,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.46,2.79,N
-33.15405,-60.21494,299.54,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.94,2.61,N
-33.15596,-60.23368,306.86,0.75,0.77,355,1,VIIRS,n,2.0NRT,282.86,2.79,N
-33.1584,-60.2258,312.78,0.75,0.77,355,1,VIIRS,n,2.0NRT,287.48,2.79,N
-33.16083,-60.21791,301.18,0.75,0.77,355,1,VIIRS,n,2.0NRT,285.01,2.61,N
-33.16326,-60.21004,298.34,0.74,0.76,355,1,VIIRS,n,2.0NRT,284.2,2.61,N
-33.1603,-60.24461,300.27,0.75,0.77,355,1,VIIRS,n,2.0NRT,282.72,2.64,N
-33.16273,-60.2367,311.55,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.82,5.87,N
-33.16516,-60.22884,305.14,0.75,0.77,355,1,VIIRS,n,2.0NRT,286.52,5.87,N
-33.16759,-60.22096,296.86,0.75,0.77,355,1,VIIRS,n,2.0NRT,282.74,2.96,N
-33.17002,-60.21305,305.93,0.74,0.76,355,1,VIIRS,n,2.0NRT,287.62,2.96,N
-33.17245,-60.20519,297.32,0.74,0.76,355,1,VIIRS,n,2.0NRT,285.75,4.05,N
-33.16707,-60.24764,302.96,0.75,0.77,355,1,VIIRS,n,2.0NRT,283.47,2.64,N
-33.17435,-60.224,305.75,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.81,2.96,N
-33.17678,-60.21609,307.93,0.74,0.76,355,1,VIIRS,n,2.0NRT,288.46,2.96,N
-33.18112,-60.22702,331.03,0.75,0.77,355,1,VIIRS,n,2.0NRT,285.95,8.35,N
-33.1787,-60.23488,314.0,0.75,0.77,355,1,VIIRS,n,2.0NRT,288.86,4.25,N
-33.18547,-60.2379,307.51,0.75,0.77,355,1,VIIRS,n,2.0NRT,284.72,4.25,N
-33.18983,-60.2488,309.35,0.75,0.77,355,1,VIIRS,n,2.0NRT,281.49,3.35,N
-33.19538,-60.20191,338.42,0.42,0.38,1758,1,VIIRS,n,2.0NRT,285.58,6.05,D
