latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.14518,-60.2645,310.88,0.55,0.42,524,N,VIIRS,n,1,261.97,6.51,N,0.0
-33.149921,-60.222809,307.79,0.55,0.43,524,N,VIIRS,n,1,274.3,2.63,N,0.0
-33.150597,-60.216831000000006,299.22,0.55,0.43,524,N,VIIRS,n,1,268.44,2.63,N,0.0
-33.149807,-60.259186,353.35,0.55,0.42,524,N,VIIRS,n,1,269.27,8.94,N,0.0
-33.150486,-60.253239,322.37,0.55,0.42,524,N,VIIRS,n,1,253.39,8.94,N,0.0
-33.151844,-60.241348,337.04,0.55,0.42,524,N,VIIRS,n,1,282.53,3.06,N,0.0
-33.152522999999995,-60.235382,331.9,0.55,0.42,524,N,VIIRS,n,1,278.19,2.42,N,0.0
-33.149132,-60.26514399999999,309.54,0.55,0.42,524,N,VIIRS,n,1,258.94,1.62,N,0.0
-33.151165,-60.247295,319.32,0.55,0.42,524,N,VIIRS,n,1,267.24,3.06,N,0.0
-33.153198,-60.229416,313.95,0.55,0.43,524,N,VIIRS,n,1,273.1,2.42,N,0.0
-33.153877,-60.223446,302.34,0.55,0.43,524,N,VIIRS,n,1,268.95,4.65,N,0.0
-33.153763,-60.25983000000001,322.86,0.55,0.42,524,N,VIIRS,n,1,268.45,8.94,N,0.0
-33.154446,-60.253872,337.53,0.55,0.42,524,N,VIIRS,n,1,271.96,8.94,N,0.0
-33.151722,-60.277641,302.34,0.54,0.42,524,N,VIIRS,n,1,272.18,3.47,N,3.0
-33.152405,-60.271713,310.49,0.55,0.42,524,N,VIIRS,n,1,274.04,1.62,N,0.0
-33.153084,-60.26577,304.65,0.55,0.42,524,N,VIIRS,n,1,268.08,1.62,N,0.0
-33.155121,-60.24793199999999,299.17,0.55,0.42,524,N,VIIRS,n,1,265.1,3.06,N,0.0
-33.1558,-60.24198199999999,300.99,0.55,0.42,524,N,VIIRS,n,1,271.33,3.06,N,0.0
-33.156479,-60.23601899999999,302.67,0.55,0.42,524,N,VIIRS,n,1,271.34,2.42,N,0.0
-33.157162,-60.230049,299.87,0.55,0.43,524,N,VIIRS,n,1,267.84,2.42,N,0.0
-33.196251000000004,-60.205875,335.2,0.55,0.43,524,N,VIIRS,n,1,272.35,5.23,N,0.0
-33.202301,-60.188522,306.53,0.55,0.43,524,N,VIIRS,n,1,272.83,1.73,N,0.0
-33.175846,-60.300201,303.83,0.54,0.42,524,N,VIIRS,n,1,281.79,1.83,N,3.0
-33.194244,-60.206055000000006,325.98,0.55,0.43,524,N,VIIRS,n,1,272.49,4.53,N,0.0
-33.198212,-60.206696,315.0,0.55,0.43,524,N,VIIRS,n,1,269.89,4.08,N,3.0
-33.204159000000004,-60.18932,307.67,0.55,0.43,524,N,VIIRS,n,1,271.09,4.74,N,0.0
-33.20813,-60.18995699999999,304.73,0.55,0.43,524,N,VIIRS,n,1,267.57,2.8,N,0.0
-33.211441,-60.196609,295.91,0.55,0.43,524,N,VIIRS,n,1,267.75,2.84,N,0.0
-33.212101000000004,-60.190598,304.66,0.55,0.43,524,N,VIIRS,n,1,266.78,2.8,N,0.0
-33.090744,-60.231243000000006,329.26,0.55,0.42,524,N,VIIRS,n,1,240.65,9.49,N,0.0
-33.092499,-60.231762,342.03,0.55,0.42,524,N,VIIRS,n,1,244.94,14.75,N,0.0
-33.093159,-60.225807,320.29,0.55,0.42,524,N,VIIRS,n,1,241.91,8.4,N,0.0
-33.095797999999995,-60.238354,328.01,0.55,0.42,524,N,VIIRS,n,1,245.63,19.42,N,0.0
-33.096458,-60.232407,353.75,0.55,0.42,524,N,VIIRS,n,1,254.91,19.42,N,0.0
-33.099751,-60.238998,340.42,0.55,0.42,524,N,VIIRS,n,1,255.08,19.42,N,0.0
-33.103706,-60.23963199999999,347.29,0.55,0.42,524,N,VIIRS,n,1,265.25,23.79,N,0.0
-33.105034,-60.227718,343.65,0.55,0.42,524,N,VIIRS,n,1,283.22,57.09,N,0.0
-33.105694,-60.221756000000006,349.91,0.55,0.43,524,N,VIIRS,n,1,255.47,57.09,N,0.0
-33.106358,-60.215786,325.07,0.55,0.43,524,N,VIIRS,n,1,251.23,7.4,N,0.0
-33.107662,-60.240273,349.15,0.55,0.42,524,N,VIIRS,n,1,271.99,23.79,N,0.0
-33.108990000000006,-60.228363,342.81,0.55,0.42,524,N,VIIRS,n,1,292.48,57.09,N,0.0
-33.109653,-60.222393,351.64,0.55,0.43,524,N,VIIRS,n,1,266.11,57.09,N,0.0
-33.110316999999995,-60.216423,331.29,0.55,0.43,524,N,VIIRS,n,1,255.48,7.4,N,0.0
-33.11095,-60.246864,340.5,0.55,0.42,524,N,VIIRS,n,1,279.38,12.99,N,0.0
-33.112949,-60.228996,355.57,0.55,0.42,524,N,VIIRS,n,1,287.42,45.48,N,0.0
-33.113613,-60.223034,343.38,0.55,0.43,524,N,VIIRS,n,1,274.99,45.48,N,0.0
-33.114281,-60.217064,333.78,0.55,0.43,524,N,VIIRS,n,1,259.58,10.69,N,0.0
-33.114906,-60.247509,345.38,0.55,0.42,524,N,VIIRS,n,1,275.55,12.99,N,0.0
-33.116901,-60.229641,356.58,0.55,0.42,524,N,VIIRS,n,1,269.98,45.48,N,0.0
-33.117573,-60.223671,354.0,0.55,0.43,524,N,VIIRS,n,1,271.76,45.48,N,0.0
-33.118237,-60.217701,339.68,0.55,0.43,524,N,VIIRS,n,1,264.05,10.69,N,0.0
-33.118187,-60.254093000000005,321.5,0.55,0.42,524,N,VIIRS,n,1,276.49,7.59,N,0.0
-33.118858,-60.248158,347.71,0.55,0.42,524,N,VIIRS,n,1,276.35,7.59,N,0.0
-33.119522,-60.242195,326.29,0.55,0.42,524,N,VIIRS,n,1,265.13,5.31,N,0.0
-33.120193,-60.236229,320.18,0.55,0.42,524,N,VIIRS,n,1,256.59,5.31,N,0.0
-33.120857,-60.230282,338.22,0.55,0.42,524,N,VIIRS,n,1,262.76,22.27,N,0.0
-33.121528999999995,-60.224319,355.69,0.55,0.43,524,N,VIIRS,n,1,271.46,22.27,N,0.0
-33.1222,-60.218334,346.88,0.55,0.43,524,N,VIIRS,n,1,269.12,15.86,N,0.0
-33.122868,-60.212364,320.89,0.55,0.43,524,N,VIIRS,n,1,264.79,15.86,N,0.0
-33.122143,-60.254734,326.67,0.55,0.42,524,N,VIIRS,n,1,279.22,7.59,N,0.0
-33.122807,-60.248791,335.82,0.55,0.42,524,N,VIIRS,n,1,273.03,7.59,N,0.0
-33.123482,-60.242836,326.73,0.55,0.42,524,N,VIIRS,n,1,262.69,5.31,N,0.0
-33.125488,-60.224949,344.77,0.55,0.43,524,N,VIIRS,n,1,264.03,22.27,N,0.0
-33.12616,-60.218983,353.49,0.55,0.43,524,N,VIIRS,n,1,271.56,15.86,N,0.0
-33.126827,-60.213009,323.11,0.55,0.43,524,N,VIIRS,n,1,265.56,15.86,N,0.0
-33.129452,-60.225582,320.55,0.55,0.43,524,N,VIIRS,n,1,265.16,11.27,N,0.0
-33.130115999999994,-60.21961999999999,352.87,0.55,0.43,524,N,VIIRS,n,1,279.18,14.87,N,0.0
-33.130787,-60.21365,327.44,0.55,0.43,524,N,VIIRS,n,1,267.17,14.87,N,0.0
-33.134079,-60.220261,328.98,0.55,0.43,524,N,VIIRS,n,1,272.49,14.87,N,0.0
-33.134754,-60.214279000000005,347.85,0.55,0.43,524,N,VIIRS,n,1,271.61,14.87,N,0.0
-33.130722,-60.250053,303.84,0.55,0.42,524,N,VIIRS,n,1,262.38,9.47,N,0.0
-33.135349,-60.24474,332.05,0.55,0.42,524,N,VIIRS,n,1,259.73,13.38,N,0.0
-33.136016999999995,-60.238792,350.26,0.55,0.42,524,N,VIIRS,n,1,252.52,13.38,N,0.0
-33.13871,-60.214912,340.62,0.55,0.43,524,N,VIIRS,n,1,268.93,5.81,N,0.0
-33.134674,-60.250690000000006,303.49,0.55,0.42,524,N,VIIRS,n,1,267.55,3.04,N,0.0
-33.136688,-60.23283000000001,317.98,0.55,0.42,524,N,VIIRS,n,1,253.85,7.71,N,0.0
-33.139297,-60.245384,324.05,0.55,0.42,524,N,VIIRS,n,1,263.21,13.38,N,0.0
-33.139973,-60.239433,354.96,0.55,0.42,524,N,VIIRS,n,1,272.68,13.38,N,0.0
-33.140648,-60.233471,348.01,0.55,0.42,524,N,VIIRS,n,1,270.9,7.71,N,0.0
-33.138622,-60.25133100000001,306.41,0.55,0.42,524,N,VIIRS,n,1,262.76,3.04,N,0.0
-33.141323,-60.227493,316.87,0.55,0.43,524,N,VIIRS,n,1,276.12,7.71,N,0.0
-33.141998,-60.221531000000006,307.82,0.55,0.43,524,N,VIIRS,n,1,276.27,5.81,N,0.0
-33.142672999999995,-60.215561,304.17,0.55,0.43,524,N,VIIRS,n,1,274.01,5.81,N,0.0
-33.143253,-60.246025,320.98,0.55,0.42,524,N,VIIRS,n,1,260.69,12.35,N,0.0
-33.143929,-60.24007,346.79,0.55,0.42,524,N,VIIRS,n,1,266.63,12.35,N,0.0
-33.144608000000005,-60.234108,349.34,0.55,0.42,524,N,VIIRS,n,1,287.26,35.31,N,0.0
-33.145283,-60.228142000000005,329.47,0.55,0.43,524,N,VIIRS,n,1,278.91,35.31,N,0.0
-33.141907,-60.257923,305.58,0.55,0.42,524,N,VIIRS,n,1,256.69,4.85,N,0.0
-33.142578,-60.251976,305.43,0.55,0.42,524,N,VIIRS,n,1,255.3,4.85,N,0.0
-33.145958,-60.222168,308.21,0.55,0.43,524,N,VIIRS,n,1,276.59,2.63,N,0.0
-33.145855,-60.25856,350.98,0.55,0.42,524,N,VIIRS,n,1,267.04,4.85,N,0.0
-33.146534,-60.252609,320.71,0.55,0.42,524,N,VIIRS,n,1,259.09,4.85,N,0.0
-33.147209000000004,-60.246666000000005,327.91,0.55,0.42,524,N,VIIRS,n,1,270.85,12.35,N,0.0
-33.147884000000005,-60.240704,352.05,0.55,0.42,524,N,VIIRS,n,1,285.11,12.35,N,0.0
-33.148563,-60.23474100000001,356.18,0.55,0.42,524,N,VIIRS,n,1,295.22,35.31,N,0.0
-33.149242,-60.228779,335.66,0.55,0.43,524,N,VIIRS,n,1,279.12,35.31,N,0.0
-32.919651,-60.510059,343.97,0.39,0.36,1742,N,VIIRS,n,1,293.25,18.75,D,0.0
-32.920261,-60.514214,327.9,0.39,0.36,1742,N,VIIRS,n,1,284.37,13.53,D,0.0
-32.888335999999995,-60.50795,347.62,0.39,0.36,1742,N,VIIRS,n,1,275.39,5.15,D,3.0
-32.878868,-60.467091,328.26,0.39,0.36,1742,N,VIIRS,n,1,280.28,3.95,D,3.0
-32.879478000000006,-60.471245,336.01,0.39,0.36,1742,N,VIIRS,n,1,281.91,4.68,D,0.0
-32.88438,-60.504478000000006,345.3,0.39,0.36,1742,N,VIIRS,n,1,276.66,5.15,D,3.0
-32.884995,-60.50864,338.22,0.39,0.36,1742,N,VIIRS,n,1,275.98,5.15,D,3.0
-32.886829,-60.521111,348.56,0.39,0.36,1742,N,VIIRS,n,1,277.74,18.07,D,3.0
-32.874912,-60.463627,334.9,0.39,0.36,1742,N,VIIRS,n,1,277.38,5.58,D,3.0
-32.875523,-60.467781,338.37,0.39,0.36,1742,N,VIIRS,n,1,281.24,5.58,D,3.0
-32.881039,-60.505169,354.03,0.39,0.36,1742,N,VIIRS,n,1,278.93,31.65,D,0.0
-32.881649,-60.509331,342.33,0.39,0.36,1742,N,VIIRS,n,1,278.87,31.65,D,0.0
-32.883484,-60.521793,349.64,0.39,0.36,1742,N,VIIRS,n,1,276.27,15.71,D,0.0
-32.871574,-60.464317,334.04,0.39,0.36,1742,N,VIIRS,n,1,274.67,5.58,D,3.0
-32.872795,-60.472622,335.95,0.39,0.36,1742,N,VIIRS,n,1,279.68,5.21,D,0.0
-32.87402,-60.48093000000001,328.76,0.39,0.36,1742,N,VIIRS,n,1,278.94,2.58,D,3.0
-32.877083,-60.501705,342.34,0.39,0.36,1742,N,VIIRS,n,1,277.33,6.67,D,0.0
-32.877697,-60.505859,339.93,0.39,0.36,1742,N,VIIRS,n,1,298.75,31.65,D,0.0
-32.878307,-60.510017000000005,342.96,0.39,0.36,1742,N,VIIRS,n,1,283.56,31.65,D,0.0
-32.878918,-60.514172,336.69,0.39,0.36,1742,N,VIIRS,n,1,278.68,7.35,D,0.0
-32.868839,-60.469162,339.79,0.39,0.36,1742,N,VIIRS,n,1,282.59,10.86,D,3.0
-32.869457000000004,-60.473312,337.76,0.39,0.36,1742,N,VIIRS,n,1,279.68,8.28,D,0.0
-32.870068,-60.477467,333.25,0.39,0.36,1742,N,VIIRS,n,1,276.69,8.28,D,0.0
-32.870678000000005,-60.48161700000001,340.63,0.39,0.36,1742,N,VIIRS,n,1,276.0,4.59,D,0.0
-32.874352,-60.50655,329.56,0.39,0.36,1742,N,VIIRS,n,1,277.94,9.33,D,0.0
-32.874966,-60.510708,344.57,0.39,0.36,1742,N,VIIRS,n,1,281.39,9.33,D,0.0
-32.875576,-60.514862,337.32,0.39,0.36,1742,N,VIIRS,n,1,279.9,7.7,D,0.0
-32.865501,-60.469849,334.92,0.39,0.36,1742,N,VIIRS,n,1,276.02,10.86,D,3.0
-32.87101,-60.50724,337.12,0.39,0.36,1742,N,VIIRS,n,1,280.67,9.33,D,0.0
-32.87162,-60.511391,352.65,0.39,0.36,1742,N,VIIRS,n,1,291.92,9.33,D,0.0
-32.863384,-60.478848,346.77,0.39,0.36,1742,N,VIIRS,n,1,285.5,9.42,D,0.0
-32.867664000000005,-60.507927,353.8,0.39,0.36,1742,N,VIIRS,n,1,297.47,12.47,D,0.0
-32.868279,-60.51208100000001,334.71,0.39,0.36,1742,N,VIIRS,n,1,284.67,12.47,D,0.0
-32.868889,-60.516239,348.63,0.39,0.36,1742,N,VIIRS,n,1,288.45,19.76,D,0.0
-32.869499,-60.520393000000006,342.2,0.39,0.36,1742,N,VIIRS,n,1,283.47,19.76,D,0.0
-32.860039,-60.479534,350.7,0.39,0.36,1742,N,VIIRS,n,1,278.02,9.42,D,0.0
-32.863712,-60.504459,347.57,0.39,0.36,1742,N,VIIRS,n,1,295.87,32.31,D,0.0
-32.864323,-60.508617,340.93,0.39,0.36,1742,N,VIIRS,n,1,289.66,12.47,D,0.0
-32.865543,-60.51693,338.09,0.39,0.36,1742,N,VIIRS,n,1,302.34,19.76,D,0.0
-32.866158,-60.521084,330.9,0.39,0.36,1742,N,VIIRS,n,1,280.38,19.76,D,0.0
-32.859756,-60.500996,334.71,0.39,0.36,1742,N,VIIRS,n,1,280.67,13.06,D,0.0
-32.860367,-60.50515,349.04,0.39,0.36,1742,N,VIIRS,n,1,299.77,13.06,D,0.0
-32.856415000000005,-60.501686,350.86,0.39,0.36,1742,N,VIIRS,n,1,292.34,13.06,D,0.0
-32.857029,-60.50584,336.91,0.39,0.36,1742,N,VIIRS,n,1,289.11,13.06,D,0.0
-32.853072999999995,-60.502377,352.06,0.39,0.36,1742,N,VIIRS,n,1,285.36,10.91,D,0.0
-32.853683000000004,-60.506527,332.66,0.39,0.36,1742,N,VIIRS,n,1,280.6,10.91,D,0.0
-32.854908,-60.514839,341.1,0.39,0.36,1742,N,VIIRS,n,1,283.25,4.06,D,0.0
-32.849731,-60.503067,341.25,0.39,0.36,1742,N,VIIRS,n,1,273.2,10.91,D,0.0
-32.850342,-60.507217,348.99,0.39,0.36,1742,N,VIIRS,n,1,278.85,10.91,D,0.0
-32.850952,-60.511379000000005,331.07,0.39,0.36,1742,N,VIIRS,n,1,276.9,4.06,D,0.0
