latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.080799,-60.024952,296.21,0.42,0.37,448,N,VIIRS,n,1,272.21,1.05,N,3.0
-33.081585,-60.0205,295.96,0.42,0.37,448,N,VIIRS,n,1,274.32,1.05,N,3.0
-33.090038,-60.013252,295.61,0.42,0.37,448,N,VIIRS,n,1,273.98,1.31,N,0.0
-33.082962,-60.300346,309.11,0.42,0.38,448,N,VIIRS,n,1,273.8,1.5,N,3.0
-33.220852,-60.238224,335.23,0.42,0.38,448,N,VIIRS,n,1,275.8,4.4,N,3.0
-33.224308,-60.239105,314.23,0.42,0.38,448,N,VIIRS,n,1,269.79,4.4,N,3.0
-33.225113,-60.234592000000006,298.49,0.42,0.38,448,N,VIIRS,n,1,271.74,1.71,N,3.0
-32.779373,-60.29155,328.55,0.43,0.38,448,N,VIIRS,n,1,277.07,8.35,N,0.0
-32.781208,-60.301529,301.69,0.43,0.38,448,N,VIIRS,n,1,276.74,1.24,N,0.0
-32.835567,-60.28205500000001,325.38,0.42,0.38,448,N,VIIRS,n,1,272.4,3.25,N,0.0
-32.844364,-60.293797,317.79,0.43,0.38,448,N,VIIRS,n,1,272.2,1.42,N,0.0
-32.844765,-60.292328000000005,317.57,0.42,0.38,448,N,VIIRS,n,1,273.43,1.79,N,0.0
-32.848232,-60.293217000000006,304.67,0.42,0.38,448,N,VIIRS,n,1,269.68,0.97,N,0.0
-32.875828000000006,-60.28121899999999,297.35,0.42,0.38,448,N,VIIRS,n,1,274.13,1.05,N,0.0
-32.95332,-60.253483,314.12,0.42,0.38,448,N,VIIRS,n,1,269.79,1.86,N,3.0
-32.963467,-60.23713299999999,305.79,0.42,0.38,448,N,VIIRS,n,1,271.82,1.17,N,0.0
-32.964005,-60.234627,307.12,0.42,0.38,448,N,VIIRS,n,1,272.35,1.3,N,0.0
-32.965015,-60.249073,332.43,0.42,0.38,448,N,VIIRS,n,1,275.25,2.92,N,0.0
