latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.643295,-60.584476,331.6,0.59,0.53,424,N,VIIRS,n,1,283.28,2.99,N,0.0
-32.641804,-60.590786,309.75,0.59,0.53,424,N,VIIRS,n,1,281.62,5.4,N,0.0
-32.648094,-60.586079000000005,310.78,0.59,0.53,424,N,VIIRS,n,1,281.91,2.99,N,0.0
-32.701237,-60.62443199999999,337.94,0.59,0.53,424,N,VIIRS,n,1,284.19,6.58,N,0.0
-32.699768,-60.630768,301.86,0.59,0.53,424,N,VIIRS,n,1,279.08,6.58,N,0.0
-32.702438,-60.624218000000006,337.38,0.59,0.53,424,N,VIIRS,n,1,284.85,5.52,N,0.0
-32.700928000000005,-60.630543,312.95,0.59,0.53,424,N,VIIRS,n,1,279.53,8.91,N,0.0
-32.707233,-60.625824,303.27,0.59,0.53,424,N,VIIRS,n,1,279.95,5.52,N,0.0
-32.695389,-60.697289000000005,326.0,0.6,0.53,424,N,VIIRS,n,1,284.38,6.38,N,3.0
-32.701729,-60.692528,326.24,0.6,0.53,424,N,VIIRS,n,1,283.55,4.94,N,0.0
-32.706547,-60.69416,322.55,0.6,0.53,424,N,VIIRS,n,1,284.62,4.37,N,3.0
-32.935608,-60.125938,315.58,0.55,0.51,424,N,VIIRS,n,1,282.31,3.08,N,0.0
-32.936985,-60.120049,305.86,0.55,0.51,424,N,VIIRS,n,1,284.39,2.18,N,0.0
-32.942459,-60.096596,304.26,0.55,0.51,424,N,VIIRS,n,1,277.09,1.12,N,0.0
-32.940262,-60.127472,331.41,0.55,0.51,424,N,VIIRS,n,1,285.62,5.98,N,0.0
-32.94574,-60.103985,295.14,0.55,0.51,424,N,VIIRS,n,1,279.41,1.54,N,0.0
-32.948467,-60.09226999999999,315.61,0.55,0.51,424,N,VIIRS,n,1,278.72,3.67,N,0.0
-32.949829,-60.086426,313.19,0.55,0.51,424,N,VIIRS,n,1,279.53,2.06,N,0.0
-32.949017,-60.11138199999999,301.25,0.55,0.51,424,N,VIIRS,n,1,280.51,1.54,N,0.0
-32.948193,-60.136421,303.29,0.55,0.51,424,N,VIIRS,n,1,278.21,1.42,N,0.0
-32.952293,-60.118793,310.56,0.55,0.51,424,N,VIIRS,n,1,281.84,1.84,N,0.0
-32.953663,-60.112911,302.3,0.55,0.51,424,N,VIIRS,n,1,279.55,1.84,N,0.0
-32.952847,-60.137951,303.09,0.55,0.51,424,N,VIIRS,n,1,278.4,1.42,N,0.0
-32.95694,-60.12033100000001,300.4,0.55,0.51,424,N,VIIRS,n,1,280.48,1.84,N,0.0
-32.961586,-60.121864,317.86,0.55,0.51,424,N,VIIRS,n,1,283.51,3.57,N,3.0
-33.002163,-60.571465,296.07,0.58,0.52,424,N,VIIRS,n,1,280.18,1.2,N,0.0
