latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.779438,-60.307461,297.93,0.43,0.46,530,N,VIIRS,n,1,274.99,1.65,N,0.0
-32.798893,-60.286659,302.76,0.43,0.46,530,N,VIIRS,n,1,279.13,1.73,N,0.0
-32.84256,-60.283508,298.88,0.43,0.46,530,N,VIIRS,n,1,276.14,1.43,N,0.0
-32.840786,-60.281521,298.12,0.43,0.46,530,N,VIIRS,n,1,275.79,1.28,N,0.0
-32.848862,-60.287449,311.71,0.43,0.46,530,N,VIIRS,n,1,273.15,1.78,N,0.0
-32.85313,-60.288071,307.31,0.43,0.46,530,N,VIIRS,n,1,276.3,1.78,N,0.0
-32.853603,-60.283386,301.08,0.43,0.46,530,N,VIIRS,n,1,278.0,1.7,N,0.0
-32.854069,-60.278709,308.92,0.43,0.46,530,N,VIIRS,n,1,282.21,1.7,N,0.0
-32.854538,-60.274014,307.68,0.43,0.46,530,N,VIIRS,n,1,280.85,2.43,N,0.0
-32.856464,-60.29805,329.71,0.43,0.46,530,N,VIIRS,n,1,274.71,4.37,N,0.0
-32.852715,-60.335335,298.05,0.43,0.46,530,N,VIIRS,n,1,276.47,1.32,N,0.0
-32.858341,-60.279327,302.95,0.43,0.46,530,N,VIIRS,n,1,277.57,2.09,N,0.0
-32.856506,-60.340603,300.38,0.43,0.46,530,N,VIIRS,n,1,279.29,1.32,N,0.0
-32.864532000000004,-60.303974,296.31,0.43,0.46,530,N,VIIRS,n,1,278.89,1.38,N,0.0
-32.868324,-60.30925799999999,300.92,0.43,0.46,530,N,VIIRS,n,1,279.43,1.84,N,0.0
-32.868797,-60.30459200000001,303.97,0.43,0.46,530,N,VIIRS,n,1,280.69,1.38,N,0.0
-32.869743,-60.295242,298.2,0.43,0.46,530,N,VIIRS,n,1,275.37,1.24,N,0.0
-32.870216,-60.290565,299.87,0.43,0.46,530,N,VIIRS,n,1,275.48,1.24,N,0.0
-32.872589000000005,-60.309887,313.47,0.43,0.46,530,N,VIIRS,n,1,279.81,2.87,N,0.0
-32.877804,-60.30116700000001,298.11,0.43,0.46,530,N,VIIRS,n,1,274.96,1.79,N,0.0
-32.911213000000004,-60.18654300000001,298.52,0.44,0.46,530,N,VIIRS,n,1,271.39,0.85,N,3.0
-33.073803000000005,-60.060413,320.26,0.44,0.46,530,N,VIIRS,n,1,276.73,2.5,N,0.0
-33.09375,-60.000515,309.41,0.45,0.47,530,N,VIIRS,n,1,272.46,1.11,N,0.0
-33.098106,-60.001137,321.99,0.45,0.47,530,N,VIIRS,n,1,274.8,1.74,N,0.0
-33.096264,-60.065174,299.86,0.44,0.46,530,N,VIIRS,n,1,271.7,0.77,N,0.0
-33.205559,-60.252895,316.58,0.43,0.46,530,N,VIIRS,n,1,280.38,2.35,N,3.0
-33.210335,-60.248764,335.86,0.44,0.46,530,N,VIIRS,n,1,278.54,5.31,N,3.0
