latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-33.04035,-60.41788,316.84,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,294.05,3.47,N
-33.04187,-60.41241,301.06,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,286.8,3.47,N
-33.04338,-60.40696,313.91,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,287.6,4.95,N
-33.04641,-60.39601,318.99,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,281.18,4.86,N
-33.04327,-60.43118,314.46,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,288.47,5.7,N
-33.04479,-60.42571,311.23,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,291.34,5.7,N
-33.04631,-60.42023,305.01,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,290.29,3.47,N
-33.04782,-60.41476,297.32,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,285.64,3.47,N
-33.16164,-60.00036,304.3,0.49,0.65,408.0,1.0,VIIRS,n,2.0NRT,272.62,3.93,N
-33.04489,-60.40148,328.36,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,286.61,4.95,N
-33.05979,-60.39533,313.91,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,276.62,3.32,N
-33.06129,-60.38988,315.16,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,278.22,3.82,N
-33.03732,-60.4288,327.4,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,286.91,5.7,N
-33.04046,-60.39365,298.76,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,284.67,3.08,N
-33.04198,-60.38818,323.38,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,287.23,3.08,N
-33.03162,-60.37798,295.41,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,284.81,2.29,N
-33.0301,-60.38346,296.5,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,284.01,2.77,N
-33.02567,-60.37564,300.15,0.52,0.67,408.0,1.0,VIIRS,n,2.0NRT,284.11,2.29,N
-33.02125,-60.36784,306.39,0.52,0.66,408.0,1.0,VIIRS,n,2.0NRT,281.3,2.41,N
-33.01885,-60.36653,315.1,0.41,0.6,550.0,1.0,VIIRS,n,2.0NRT,277.24,1.73,N
