latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-33.13502,-60.17077,296.79,0.5,0.66,408.0,1.0,VIIRS,n,2.0NRT,277.48,3.14,N
-33.13648,-60.16544,310.63,0.5,0.66,408.0,1.0,VIIRS,n,2.0NRT,285.58,3.39,N
-33.13785,-60.16423,301.38,0.41,0.61,550.0,1.0,VIIRS,n,2.0NRT,278.8,1.93,N
-33.1319,-60.16823,295.22,0.41,0.61,550.0,1.0,VIIRS,n,2.0NRT,279.38,1.93,N
-33.19639,-60.17584,304.67,0.41,0.61,550.0,1.0,VIIRS,n,2.0NRT,281.42,1.44,N
-33.14323,-60.16923,298.7,0.41,0.61,550.0,1.0,VIIRS,n,2.0NRT,275.82,1.47,N
-33.13757,-60.16873,322.72,0.41,0.61,550.0,1.0,VIIRS,n,2.0NRT,283.87,1.93,N
-33.23061,-60.05451,351.33,0.38,0.43,1813.0,1.0,VIIRS,n,2.0NRT,302.26,12.27,D
-33.24955,-60.14923,346.37,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,310.27,34.89,D
-33.24561,-60.15036,351.77,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,309.61,39.86,D
-33.24651,-60.17572,329.98,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,295.36,3.31,D
-33.22682,-60.1813,337.54,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,300.98,23.63,D
-33.21894,-60.18354,342.33,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,305.15,11.37,D
-33.20984,-60.17971,331.16,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.44,23.13,D
-33.20468,-60.17477,337.47,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,302.07,23.13,D
-33.18497,-60.18032,336.46,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,300.21,6.06,D
-33.1862,-60.18638,338.63,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,303.99,6.06,D
-33.18742,-60.19244,340.56,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,312.74,36.06,D
-33.17979,-60.17537,336.39,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,306.51,38.73,D
-33.16717,-60.13397,335.3,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,301.2,6.12,D
-33.15905,-60.15556,332.47,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,294.66,3.81,D
-33.1551,-60.15667,338.79,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,302.13,20.19,D
-33.1499,-60.15171,347.52,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,322.16,20.19,D
-33.15115,-60.15779,354.8,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,325.99,20.19,D
-33.14845,-60.16496,337.26,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,305.86,12.45,D
-33.15094,-60.17709,339.25,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,302.74,9.63,D
-33.14575,-60.17213,335.91,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.9,12.45,D
-33.15306,-60.15278,340.97,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,303.22,32.54,D
-33.15428,-60.15887,353.3,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,311.88,22.99,D
-33.14638,-60.16111,355.86,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,325.01,37.52,D
-33.15002,-60.17935,331.58,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.84,7.93,D
-33.14243,-60.16222,354.36,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,325.34,37.52,D
-33.14365,-60.16831,354.88,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,314.21,37.52,D
-33.14486,-60.17439,341.19,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,301.25,7.93,D
-33.1397,-60.16943,347.73,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,313.28,43.96,D
-33.14091,-60.17551,346.41,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,316.2,48.71,D
-33.13453,-60.16446,337.68,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,309.51,43.96,D
-33.13697,-60.17662,342.86,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,316.82,48.71,D
-33.13302,-60.17774,335.19,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.33,5.86,D
-33.13424,-60.18382,333.87,0.57,0.43,1813.0,1.0,VIIRS,n,2.0NRT,303.04,5.86,D
-32.89384,-60.45218,338.98,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,304.59,24.65,D
-32.89624,-60.46402,338.11,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,304.68,8.49,D
-32.89233,-60.4651,351.51,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,306.75,8.49,D
-32.88361,-60.44249,334.14,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.54,40.3,D
-32.88482,-60.44842,345.69,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,306.6,40.3,D
-32.88091,-60.4495,340.11,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,304.95,40.3,D
-32.87429,-60.4576,334.16,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,299.68,6.27,D
-32.89283,-60.46021,336.71,0.56,0.43,1813.0,1.0,VIIRS,n,2.0NRT,303.71,14.01,D
