latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.207947,-60.07402,339.05,0.39,0.36,1748,N,VIIRS,n,1,292.83,5.82,D,3.0
-33.204597,-60.074787,335.65,0.39,0.36,1748,N,VIIRS,n,1,288.51,3.49,D,0.0
-33.074928,-60.336868,326.29,0.39,0.36,1748,N,VIIRS,n,1,294.34,3.09,D,0.0
-33.070919,-60.333439,345.51,0.39,0.36,1748,N,VIIRS,n,1,296.44,7.58,D,0.0
-33.071587,-60.33762,335.46,0.39,0.36,1748,N,VIIRS,n,1,297.41,7.45,D,0.0
-33.072247,-60.341793,349.86,0.39,0.36,1748,N,VIIRS,n,1,301.6,7.45,D,0.0
-33.06691,-60.330009,348.57,0.39,0.36,1748,N,VIIRS,n,1,304.24,7.58,D,0.0
-33.067574,-60.33419,356.5,0.39,0.36,1748,N,VIIRS,n,1,307.94,7.58,D,0.0
-33.068241,-60.338367000000005,349.02,0.39,0.36,1748,N,VIIRS,n,1,304.33,7.45,D,0.0
-33.068905,-60.342541,352.82,0.39,0.36,1748,N,VIIRS,n,1,298.87,7.45,D,0.0
-33.069569,-60.346722,336.47,0.39,0.36,1748,N,VIIRS,n,1,297.53,6.15,D,0.0
-33.064899,-60.339119,353.08,0.39,0.36,1748,N,VIIRS,n,1,327.76,22.03,D,0.0
-33.065559,-60.343292000000005,353.87,0.39,0.36,1748,N,VIIRS,n,1,320.11,22.03,D,0.0
-33.066227000000005,-60.347473,341.15,0.39,0.36,1748,N,VIIRS,n,1,300.86,22.7,D,0.0
-33.061554,-60.339867000000005,350.97,0.39,0.36,1748,N,VIIRS,n,1,302.14,22.03,D,0.0
-33.062218,-60.344044,348.14,0.39,0.36,1748,N,VIIRS,n,1,306.71,22.03,D,0.0
-33.062881,-60.348225,352.16,0.39,0.36,1748,N,VIIRS,n,1,308.25,22.7,D,0.0
-33.056213,-60.32808299999999,350.16,0.39,0.36,1748,N,VIIRS,n,1,295.37,11.63,D,0.0
-33.058871999999994,-60.344795,345.73,0.39,0.36,1748,N,VIIRS,n,1,303.86,18.15,D,0.0
-33.059540000000005,-60.348969,348.71,0.39,0.36,1748,N,VIIRS,n,1,309.63,18.27,D,0.0
-33.052868,-60.328835,326.61,0.39,0.36,1748,N,VIIRS,n,1,290.02,11.63,D,0.0
-33.053535,-60.333015,355.5,0.39,0.36,1748,N,VIIRS,n,1,316.89,19.48,D,0.0
-33.054203,-60.337196,333.32,0.39,0.36,1748,N,VIIRS,n,1,294.74,19.48,D,0.0
-33.055531,-60.345547,347.09,0.39,0.36,1748,N,VIIRS,n,1,301.37,18.15,D,0.0
-33.056197999999995,-60.34972,330.96,0.39,0.36,1748,N,VIIRS,n,1,289.99,18.27,D,0.0
-33.051525,-60.342117,331.99,0.39,0.36,1748,N,VIIRS,n,1,292.84,4.46,D,0.0
-33.0415,-60.32272,339.99,0.39,0.36,1748,N,VIIRS,n,1,310.61,135.17,D,0.0
-33.037487,-60.31929399999999,339.01,0.39,0.36,1748,N,VIIRS,n,1,290.35,135.17,D,0.0
-33.034145,-60.32004499999999,337.14,0.39,0.36,1748,N,VIIRS,n,1,291.24,32.11,D,0.0
-33.034809,-60.324223,331.66,0.39,0.36,1748,N,VIIRS,n,1,293.65,32.11,D,0.0
-32.973240000000004,-60.286083,326.88,0.39,0.36,1748,N,VIIRS,n,1,294.92,3.58,D,0.0
-32.973911,-60.290264,332.44,0.39,0.36,1748,N,VIIRS,n,1,294.46,3.96,D,0.0
-32.969894000000004,-60.286835,333.86,0.39,0.36,1748,N,VIIRS,n,1,296.54,3.58,D,0.0
-32.942440000000005,-60.491077,339.2,0.39,0.36,1748,N,VIIRS,n,1,297.31,13.4,D,0.0
-32.939758000000005,-60.495983,337.43,0.39,0.36,1748,N,VIIRS,n,1,300.07,26.42,D,0.0
-32.630409,-60.52796899999999,344.85,0.39,0.36,1748,N,VIIRS,n,1,296.88,10.48,D,0.0
-32.631069000000004,-60.53211999999999,342.65,0.39,0.36,1748,N,VIIRS,n,1,296.12,10.48,D,0.0
-32.631729,-60.536274,331.46,0.39,0.36,1748,N,VIIRS,n,1,295.88,9.24,D,0.0
-32.627068,-60.52870600000001,351.38,0.39,0.36,1748,N,VIIRS,n,1,301.26,18.52,D,0.0
-32.627728000000005,-60.53286,346.29,0.39,0.36,1748,N,VIIRS,n,1,295.78,18.52,D,0.0
-32.623726,-60.529449,351.1,0.39,0.36,1748,N,VIIRS,n,1,299.58,18.52,D,0.0
-32.509666,-60.691204000000006,356.09,0.39,0.36,1748,N,VIIRS,n,1,299.67,9.52,D,3.0
-32.510323,-60.695335,337.48,0.39,0.36,1748,N,VIIRS,n,1,291.94,9.52,D,3.0
-32.505669,-60.687794,330.37,0.39,0.36,1748,N,VIIRS,n,1,291.23,7.47,D,0.0
-32.506325,-60.691933,340.31,0.39,0.36,1748,N,VIIRS,n,1,293.63,9.52,D,3.0
