latitude,longitude,confidence
25.08894,-100.00661,n
25.09203,-99.98952,n
25.37382,-100.39445,n
25.37496,-100.40278,n
25.37439,-100.39862,n
25.39061,-100.49189,n
25.39256,-100.47977,n
25.3942,-100.49181,n
25.39642,-100.50816,n
25.40001,-100.5081,n
25.40058,-100.51231,n
25.40173,-100.52081,n
25.40116,-100.51656,n
25.06237,-99.99404,n
25.06296,-99.99825,n
25.06459,-99.98473,n
25.0664,-99.99751,n
25.06519,-99.989,n
25.06736,-99.97937,n
25.06799,-99.98376,n
25.07254,-100.01598,n
25.07603,-100.01562,n
25.07073,-99.9782,n
25.07137,-99.9827,n
25.07657,-100.01944,n
25.07414,-99.97735,n
25.07477,-99.98175,n
25.08008,-100.01918,n
25.07756,-99.97653,n
25.07818,-99.9809,n
25.08166,-99.98048,n
25.08702,-99.99316,n
25.37977,-100.40681,n
25.39872,-100.5069,n
25.398,-100.51057,n
25.37268,-100.39079,n
25.3719,-100.39485,n
25.37108,-100.39914,n
25.37538,-100.39901,n
25.37018,-100.39023,n
25.36934,-100.39445,n
25.37435,-100.39085,n
25.37276,-100.39885,n
25.38051,-100.40305,n
